NC_011596.1	Drosophila littoralis	Drosophila littoralis mitochondrion, complete genome
HQ849834.1	Drosophila americana	Drosophila americana strain 15010-0951.14 mitochondrion, partial genome
HQ849833.1	Drosophila lummei	Drosophila lummei strain 15010-1011.02 mitochondrion, partial genome
HQ849832.1	Drosophila ezoana	Drosophila ezoana strain 15010-0971.00 mitochondrion, partial genome
HQ849831.1	Drosophila virilis	Drosophila virilis strain 15010-1051.09 mitochondrion, partial genome
HQ849830.1	Drosophila novamexicana	Drosophila novamexicana strain 15010-1031.13 mitochondrion, partial genome
HQ849829.1	Drosophila flavomontana	Drosophila flavomontana strain 15010-0981.03 mitochondrion, partial genome
HQ849828.1	Drosophila melanica	Drosophila melanica strain 15030-1141.02 mitochondrion, partial genome
HQ849827.1	Drosophila kanekoi	Drosophila kanekoi strain 15010-1061.00 mitochondrion, partial genome
HQ849826.1	Drosophila robusta	Drosophila robusta strain 15020-1111.06 mitochondrion, partial genome
HQ849825.1	Drosophila canadiana	Drosophila canadiana strain 15010-1091.00 mitochondrion, partial genome
HQ849824.1	Drosophila littoralis	Drosophila littoralis strain 15010-1001.00 mitochondrion, partial genome
HQ849823.1	Drosophila borealis	Drosophila borealis strain 15010-0961.00 mitochondrion, partial genome
HQ849822.1	Drosophila borealis	Drosophila borealis strain 15010-0961.03 mitochondrion, partial genome
HQ849821.1	Drosophila lacicola	Drosophila lacicola strain 15010-0991.13 mitochondrion, partial genome
HQ849820.1	Drosophila montana	Drosophila montana strain 15010-1021.14 mitochondrion, partial genome
FJ447340.1	Drosophila littoralis	Drosophila littoralis mitochondrion, complete genome
BK006340.1	Drosophila virilis	TPA_exp: Drosophila virilis mitochondrion, complete genome
