NC_002503.2	Physeter catodon	Physeter catodon mitochondrion, complete genome
KU891394.1	Physeter catodon	Physeter catodon isolate mtGen81 mitochondrion, complete genome
KU891393.1	Physeter catodon	Physeter catodon isolate mtGen80 mitochondrion, complete genome
KU891392.1	Physeter catodon	Physeter catodon isolate mtGen79 mitochondrion, complete genome
KU891391.1	Physeter catodon	Physeter catodon isolate mtGen77 mitochondrion, complete genome
KU891390.1	Physeter catodon	Physeter catodon isolate mtGen76 mitochondrion, complete genome
KU891389.1	Physeter catodon	Physeter catodon isolate mtGen75 mitochondrion, complete genome
KU891388.1	Physeter catodon	Physeter catodon isolate mtGen74 mitochondrion, complete genome
KU891387.1	Physeter catodon	Physeter catodon isolate mtGen73 mitochondrion, complete genome
KU891386.1	Physeter catodon	Physeter catodon isolate mtGen72 mitochondrion, complete genome
KU891385.1	Physeter catodon	Physeter catodon isolate mtGen71 mitochondrion, complete genome
KU891384.1	Physeter catodon	Physeter catodon isolate mtGen70 mitochondrion, complete genome
KU891383.1	Physeter catodon	Physeter catodon isolate mtGen69 mitochondrion, complete genome
KU891382.1	Physeter catodon	Physeter catodon isolate mtGen68 mitochondrion, complete genome
KU891381.1	Physeter catodon	Physeter catodon isolate mtGen67 mitochondrion, complete genome
KU891380.1	Physeter catodon	Physeter catodon isolate mtGen66 mitochondrion, complete genome
KU891379.1	Physeter catodon	Physeter catodon isolate mtGen65 mitochondrion, complete genome
KU891378.1	Physeter catodon	Physeter catodon isolate mtGen64 mitochondrion, complete genome
KU891377.1	Physeter catodon	Physeter catodon isolate mtGen63 mitochondrion, complete genome
KU891376.1	Physeter catodon	Physeter catodon isolate mtGen62 mitochondrion, complete genome
KU891375.1	Physeter catodon	Physeter catodon isolate mtGen61 mitochondrion, complete genome
KU891374.1	Physeter catodon	Physeter catodon isolate mtGen60 mitochondrion, complete genome
KU891373.1	Physeter catodon	Physeter catodon isolate mtGen59 mitochondrion, complete genome
KU891372.1	Physeter catodon	Physeter catodon isolate mtGen58 mitochondrion, complete genome
KU891371.1	Physeter catodon	Physeter catodon isolate mtGen57 mitochondrion, complete genome
KU891370.1	Physeter catodon	Physeter catodon isolate mtGen56 mitochondrion, complete genome
KU891369.1	Physeter catodon	Physeter catodon isolate mtGen55 mitochondrion, complete genome
KU891368.1	Physeter catodon	Physeter catodon isolate mtGen54 mitochondrion, complete genome
KU891367.1	Physeter catodon	Physeter catodon isolate mtGen53 mitochondrion, complete genome
KU891366.1	Physeter catodon	Physeter catodon isolate mtGen52 mitochondrion, complete genome
KU891365.1	Physeter catodon	Physeter catodon isolate mtGen51 mitochondrion, complete genome
KU891364.1	Physeter catodon	Physeter catodon isolate mtGen50 mitochondrion, complete genome
KU891363.1	Physeter catodon	Physeter catodon isolate mtGen49 mitochondrion, complete genome
KU891362.1	Physeter catodon	Physeter catodon isolate mtGen48 mitochondrion, complete genome
KU891361.1	Physeter catodon	Physeter catodon isolate mtGen47 mitochondrion, complete genome
KU891360.1	Physeter catodon	Physeter catodon isolate mtGen46 mitochondrion, complete genome
KU891359.1	Physeter catodon	Physeter catodon isolate mtGen45 mitochondrion, complete genome
KU891358.1	Physeter catodon	Physeter catodon isolate mtGen33 mitochondrion, complete genome
KU891357.1	Physeter catodon	Physeter catodon isolate mtGen32 mitochondrion, complete genome
KU891356.1	Physeter catodon	Physeter catodon isolate mtGen30 mitochondrion, complete genome
KU891355.1	Physeter catodon	Physeter catodon isolate mtGen29 mitochondrion, complete genome
KU891354.1	Physeter catodon	Physeter catodon isolate mtGen28 mitochondrion, complete genome
KU891353.1	Physeter catodon	Physeter catodon isolate mtGen27 mitochondrion, complete genome
KU891352.1	Physeter catodon	Physeter catodon isolate mtGen26 mitochondrion, complete genome
KU891351.1	Physeter catodon	Physeter catodon isolate mtGen25 mitochondrion, complete genome
KU891350.1	Physeter catodon	Physeter catodon isolate mtGen24 mitochondrion, complete genome
KU891349.1	Physeter catodon	Physeter catodon isolate mtGen23 mitochondrion, complete genome
KU891348.1	Physeter catodon	Physeter catodon isolate mtGen22 mitochondrion, complete genome
KU891347.1	Physeter catodon	Physeter catodon isolate mtGen20 mitochondrion, complete genome
KU891346.1	Physeter catodon	Physeter catodon isolate mtGen19 mitochondrion, complete genome
KU891345.1	Physeter catodon	Physeter catodon isolate mtGen17 mitochondrion, complete genome
KU891344.1	Physeter catodon	Physeter catodon isolate mtGen16 mitochondrion, complete genome
KU891343.1	Physeter catodon	Physeter catodon isolate mtGen15 mitochondrion, complete genome
KU891342.1	Physeter catodon	Physeter catodon isolate mtGen14 mitochondrion, complete genome
KU891341.1	Physeter catodon	Physeter catodon isolate mtGen13 mitochondrion, complete genome
KU891340.1	Physeter catodon	Physeter catodon isolate mtGen12 mitochondrion, complete genome
KU891339.1	Physeter catodon	Physeter catodon isolate mtGen11 mitochondrion, complete genome
KU891338.1	Physeter catodon	Physeter catodon isolate mtGen10 mitochondrion, complete genome
KU891337.1	Physeter catodon	Physeter catodon isolate mtGen09 mitochondrion, complete genome
KU891336.1	Physeter catodon	Physeter catodon isolate mtGen08 mitochondrion, complete genome
KU891335.1	Physeter catodon	Physeter catodon isolate mtGen07 mitochondrion, complete genome
KU891334.1	Physeter catodon	Physeter catodon isolate mtGen06 mitochondrion, complete genome
KU891333.1	Physeter catodon	Physeter catodon isolate mtGen05 mitochondrion, complete genome
KU891332.1	Physeter catodon	Physeter catodon isolate mtGen04 mitochondrion, complete genome
KU891331.1	Physeter catodon	Physeter catodon isolate mtGen03 mitochondrion, complete genome
KU891330.1	Physeter catodon	Physeter catodon isolate mtGen02 mitochondrion, complete genome
KU891329.1	Physeter catodon	Physeter catodon isolate mtGen01 mitochondrion, complete genome
KC312610.2	Physeter catodon	Physeter catodon voucher PmaNZ034 mitochondrion, complete genome
KC312606.2	Physeter catodon	Physeter catodon voucher PmaNZ013 mitochondrion, complete genome
KC312603.2	Physeter catodon	Physeter catodon voucher PmaNZ005 mitochondrion, complete genome
KC312619.1	Physeter catodon	Physeter catodon voucher PmaOR001 mitochondrion, complete genome
KC312618.1	Physeter catodon	Physeter catodon voucher PmaNZ085 mitochondrion, complete genome
KC312617.1	Physeter catodon	Physeter catodon voucher PmaNZ082 mitochondrion, complete genome
KC312616.1	Physeter catodon	Physeter catodon voucher PmaNZ076 mitochondrion, complete genome
