NC_068271.1	Salvelinus malma miyabei	Salvelinus malma miyabei isolate MMSH06.M97 mitochondrion, complete genome
NC_068270.1	Salvelinus malma lordi	Salvelinus malma lordi isolate DSAU96.001 mitochondrion, complete genome
NC_042195.1	Salvelinus fontinalis x Salvelinus malma	Salvelinus fontinalis x Salvelinus malma mitochondrion, complete genome
NC_037502.1	Salvelinus malma	Salvelinus malma mitochondrion, complete genome
NC_024585.1	Salvelinus curilus	Salvelinus curilus isolate SMK33 mitochondrion, complete genome
OM362908.1	Salvelinus malma miyabei	Salvelinus malma miyabei isolate MMSH06.M99 mitochondrion, complete genome
OM362907.1	Salvelinus malma miyabei	Salvelinus malma miyabei isolate MMSH06.M97 mitochondrion, complete genome
OM362906.1	Salvelinus malma lordi	Salvelinus malma lordi isolate DSAU96.002 mitochondrion, complete genome
OM362905.1	Salvelinus malma lordi	Salvelinus malma lordi isolate DSAU96.001 mitochondrion, complete genome
OK679245.1	Salvelinus malma malma	Salvelinus malma malma isolate MNPA04.419 mitochondrion, complete genome
OK679244.1	Salvelinus malma malma	Salvelinus malma malma isolate MNKA98.388 mitochondrion, complete genome
MN530963.1	Salvelinus alpinus	Salvelinus alpinus voucher SRX5282525 haplogroup ARCTIC mitochondrion, complete genome
MN530962.1	Salvelinus alpinus	Salvelinus alpinus voucher SRX5282528 haplogroup ARCTIC mitochondrion, complete genome
MN530961.1	Salvelinus malma	Salvelinus malma voucher SRX5282523 haplogroup BERING mitochondrion, complete genome
MN530960.1	Salvelinus malma	Salvelinus malma voucher SRX5282526 haplogroup BERING mitochondrion, complete genome
MN530959.1	Salvelinus malma	Salvelinus malma isolate IW2-2015 voucher SRX3776048 haplogroup BERING mitochondrion, complete genome
MK270623.1	Salvelinus fontinalis x Salvelinus malma	Salvelinus fontinalis x Salvelinus malma mitochondrion, complete genome
MF680544.1	Salvelinus malma	Salvelinus malma mitochondrion, complete genome
KJ746619.1	Salvelinus curilus	Salvelinus curilus isolate SMK33 mitochondrion, complete genome
KJ746618.1	Salvelinus malma	Salvelinus malma isolate SMM208 mitochondrion, complete genome
