NC_009885.1	Caenorhabditis briggsae	Caenorhabditis briggsae mitochondrion, complete genome
CP092626.1	Caenorhabditis briggsae	Caenorhabditis briggsae isolate VX34 mitochondrion, complete genome
CP090897.1	Caenorhabditis briggsae	Caenorhabditis briggsae isolate QX1410_ONT mitochondrion, complete genome
GU452323.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain QR24 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452322.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1564 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452321.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1424 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452320.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1399 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452319.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1392 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452318.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1378 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452317.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1377 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452314.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1346 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452312.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1344 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452311.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1343 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452310.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1342 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452308.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1340 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452307.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1339 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452306.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1338 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452305.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1337 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452304.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1264 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452303.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1263 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452302.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1262 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
GU452301.1	Caenorhabditis briggsae	Caenorhabditis briggsae strain JU1261 NADH dehydrogenase subunit 3 (nad3) gene, partial cds; nad5 pseudogene, complete sequence; and NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial
