NC_024856.1	Scathophaga stercoraria	Scathophaga stercoraria mitochondrion, complete genome
NC_024855.1	Musca domestica	Musca domestica mitochondrion, complete genome
KT272840.1	Musca domestica	Musca domestica isolate DF68_BR mitochondrion, complete genome
KT272839.1	Musca domestica	Musca domestica isolate AJ03_SG mitochondrion, complete genome
KT272838.1	Musca domestica	Musca domestica isolate AJ01_SG mitochondrion, complete genome
KT272837.1	Musca domestica	Musca domestica isolate AJ05_SG mitochondrion, complete genome
KT272836.1	Musca domestica	Musca domestica isolate AJ11_SG mitochondrion, complete genome
KT272835.1	Musca domestica	Musca domestica isolate AJ04_SG mitochondrion, complete genome
KT272834.1	Musca domestica	Musca domestica isolate AJ02_SG mitochondrion, complete genome
KT272833.1	Musca domestica	Musca domestica isolate P08_US mitochondrion, complete genome
KT272832.1	Musca domestica	Musca domestica isolate P13_US mitochondrion, complete genome
KT272831.1	Musca domestica	Musca domestica isolate P12_US mitochondrion, complete genome
KT272830.1	Musca domestica	Musca domestica isolate P07_US mitochondrion, complete genome
KT272829.1	Musca domestica	Musca domestica isolate A312_BR mitochondrion, complete genome
KT272828.1	Musca domestica	Musca domestica isolate A311_BR mitochondrion, complete genome
KT444442.1	Musca domestica	Musca domestica mitochondrion, complete genome
KM200723.1	Musca domestica	Musca domestica mitochondrion, complete genome
KM200724.1	Scathophaga stercoraria	Scathophaga stercoraria mitochondrion, complete genome
