NC_035057.1	Squatina squatina	Squatina squatina voucher OC-257 mitochondrion, complete genome
MH166798.1	Squatina squatina	Squatina squatina voucher OC-416 mitochondrion, complete genome
MH166797.1	Squatina squatina	Squatina squatina voucher OC-362 mitochondrion, complete genome
MH166796.1	Squatina squatina	Squatina squatina voucher OC-359 mitochondrion, complete genome
MH166795.1	Squatina squatina	Squatina squatina voucher OC-354 mitochondrion, complete genome
MH166794.1	Squatina squatina	Squatina squatina voucher OC-282 mitochondrion, complete genome
MH166793.1	Squatina squatina	Squatina squatina voucher OC-279 mitochondrion, complete genome
MH166792.1	Squatina squatina	Squatina squatina voucher OC-005 mitochondrion, complete genome
MG029174.1	Squatina squatina	Squatina squatina voucher OC-415, Pi36 mitochondrion, complete genome
KY464954.1	Squatina squatina	Squatina squatina voucher OC-257 mitochondrion, complete genome
