NC_067029.1	Paragonimus skrjabini miyazakii	Paragonimus skrjabini miyazakii isolate OkuST1 mitochondrion, complete genome
NC_071218.1	Paragonimus iloktsuenensis	Paragonimus iloktsuenensis isolate Amami mitochondrion, complete genome
NC_033886.1	Nippostrongylus brasiliensis	Nippostrongylus brasiliensis mitochondrion, complete genome
NC_032032.1	Paragonimus ohirai	Paragonimus ohirai strain Kino mitochondrion, complete genome
NC_001665.2	Rattus norvegicus	Rattus norvegicus strain BN/SsNHsdMCW mitochondrion, complete genome
AC_000022.2	Rattus norvegicus	Rattus norvegicus strain Wistar mitochondrion, complete genome
ON961029.1	Paragonimus iloktsuenensis	Paragonimus iloktsuenensis isolate Amami mitochondrion, complete genome
ON782295.1	Paragonimus skrjabini miyazakii	Paragonimus skrjabini miyazakii isolate OkuST1 mitochondrion, complete genome
MZ014548.1	Rattus norvegicus	Rattus norvegicus mitochondrion, complete genome
MT936933.1	Hepatozoon sp.	Hepatozoon sp. mitochondrion, complete genome
MW209726.1	Rattus norvegicus	Rattus norvegicus voucher EBD2012064590 mitochondrion, complete genome
MK570631.1	Angiostrongylus cantonensis	Angiostrongylus cantonensis isolate SYD.1 mitochondrion, complete genome
MG214478.1	Paragonimus ohirai	Paragonimus ohirai strain Nagoya-3 tRNA-Gly gene, partial sequence; tRNA-Glu gene, complete sequence; and cytochrome oxidase subunit 3 (COX3) gene, partial cds; mitochondrial
MG214477.1	Paragonimus ohirai	Paragonimus ohirai strain Nagoya-2 tRNA-Gly gene, partial sequence; tRNA-Glu gene, complete sequence; and cytochrome oxidase subunit 3 (COX3) gene, partial cds; mitochondrial
MG214476.1	Paragonimus ohirai	Paragonimus ohirai strain Kinosaki-3 tRNA-Gly gene, partial sequence; tRNA-Glu gene, complete sequence; and cytochrome oxidase subunit 3 (COX3) gene, partial cds; mitochondrial
MG214475.1	Paragonimus ohirai	Paragonimus ohirai strain Kinosaki-2 tRNA-Gly gene, partial sequence; tRNA-Glu gene, complete sequence; and cytochrome oxidase subunit 3 (COX3) gene, partial cds; mitochondrial
MF510407.1	Paragonimus ohirai	Paragonimus ohirai strain Nagoya tRNA-Gly gene, partial sequence; tRNA-Glu gene and D-loop, complete sequence; and cytochrome oxidase subunit 3 gene, partial cds; mitochondrial
KY347017.1	Nippostrongylus brasiliensis	Nippostrongylus brasiliensis mitochondrion, complete genome
KX765277.1	Paragonimus ohirai	Paragonimus ohirai strain Kino mitochondrion, complete genome
AY769440.1	Rattus norvegicus	Rattus norvegicus strain F344 x BN F1 mitochondrion, complete genome
HM152028.1	Rattus norvegicus	Rattus norvegicus strain MNS mitochondrion, complete genome
HM152027.1	Rattus norvegicus	Rattus norvegicus strain LEW/NCrlBR mitochondrion, complete genome
