NC_024429.1	Batis maritima	Batis maritima mitochondrion, complete genome
NC_016118.1	Brassica oleracea	Brassica oleracea mitochondrion, complete genome
ON758780.1	Brassica oleracea	Brassica oleracea cultivar Bel CMS chromosome 2 mitochondrion, complete genome
ON758779.1	Brassica oleracea	Brassica oleracea cultivar Bel CMS chromosome 1 mitochondrion, complete genome
ON758777.1	Brassica oleracea	Brassica oleracea chromosome 2 mitochondrion, complete sequence
ON758776.1	Brassica oleracea	Brassica oleracea chromosome 1 mitochondrion, complete sequence
ON758774.1	Brassica oleracea	Brassica oleracea mitochondrion, complete genome
ON960289.1	Brassica oleracea	UNVERIFIED: Brassica oleracea mitochondrion sequence
OL351256.1	Brassica oleracea var. italica	Brassica oleracea var. italica mitochondrion, complete genome
MW267824.1	Brevicoryne brassicae	Brevicoryne brassicae mitochondrion, complete genome
MW423605.1	Brassica oleracea	UNVERIFIED: Brassica oleracea isolate R2P2 Ogura mitochondrion sequence, sequence
MW423604.1	Brassica oleracea	UNVERIFIED: Brassica oleracea isolate R2P2 mitochondrion sequence, sequence
MW900252.1	Brassica oleracea var. gongylodes	Brassica oleracea var. gongylodes mitochondrion, complete genome
MN735183.1	Spodoptera exigua	Spodoptera exigua strain whs isolate WH-S mitochondrion, complete genome
KU831325.1	Brassica oleracea var. capitata	Brassica oleracea var. capitata mitochondrion, complete genome
JF920286.1	Brassica oleracea	Brassica oleracea mitochondrial DNA, complete genome
AP012988.1	Brassica oleracea	Brassica oleracea mitochondrial DNA, complete sequence, cultivar: Fujiwase
AP012989.1	Brassica nigra	Brassica nigra mitochondrial DNA, complete sequence
KJ820684.1	Batis maritima	Batis maritima mitochondrion, complete genome
KJ820683.1	Brassica oleracea var. botrytis	Brassica oleracea var. botrytis mitochondrion, complete genome
KC189947.1	Vicia faba	Vicia faba mitochondrion, complete genome
