NC_054292.1	Pungtungia herzi x Pseudopungtungia nigra	Pungtungia herzi x Pseudopungtungia nigra mitochondrion, complete genome
NC_008664.1	Pungtungia herzi	Pungtungia herzi mitochondrion, complete genome
MW646291.1	Pungtungia herzi x Pseudorasbora parva	Pungtungia herzi x Pseudorasbora parva mitochondrion, complete genome
MT974502.1	Pungtungia herzi x Pseudopungtungia nigra	Pungtungia herzi x Pseudopungtungia nigra mitochondrion, complete genome
MW002656.1	Pungtungia herzi	Pungtungia herzi isolate Collection by Yudeungcheon Stream 3, Korea cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial
MW002655.1	Pungtungia herzi	Pungtungia herzi isolate Collection by Yudeungcheon Stream 2, Korea cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial
MW002654.1	Pungtungia herzi	Pungtungia herzi isolate Collection by Yudeungcheon Stream 1, Korea cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial
LC519883.1	Pungtungia herzi	Pungtungia herzi Ph_OWM mitochondrial DNA, complete genome
KF006339.1	Pungtungia herzi	Pungtungia herzi mitochondrion, complete genome
AB239598.1	Pungtungia herzi	Pungtungia herzi mitochondrial DNA, complete genome
