OR088840.1	Spermophilus pygmaeus	Spermophilus pygmaeus voucher IDB RAS CWT 25380 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088839.1	Spermophilus pygmaeus	Spermophilus pygmaeus voucher IDB RAS CWT 25399 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088838.1	Spermophilus pygmaeus	Spermophilus pygmaeus voucher IDB RAS CWT 27106 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088837.1	Spermophilus erythrogenys	Spermophilus erythrogenys voucher IDB RAS CWT 23967 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088836.1	Spermophilus fulvus	Spermophilus fulvus voucher IDB RAS CWT 23915 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088835.1	Spermophilus fulvus	Spermophilus fulvus voucher IDB RAS CWT 25382 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088834.1	Spermophilus brevicauda	Spermophilus brevicauda voucher IDB RAS CWT 27588 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088833.1	Spermophilus brevicauda	Spermophilus brevicauda voucher IDB RAS CWT 27597 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088832.1	Spermophilus brevicauda	Spermophilus brevicauda voucher IDB RAS CWT 25410 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088831.1	Spermophilus brevicauda	Spermophilus brevicauda voucher IDB RAS CWT 25414 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088830.1	Spermophilus brevicauda	Spermophilus brevicauda voucher IDB RAS CWT 25676 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088829.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 23887 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088828.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 23886 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088827.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25393 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088826.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 27158 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088825.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25333 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088824.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25332 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088823.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25437 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088822.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25343 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088821.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25448 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088820.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 27557 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088819.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25409 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088818.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 27114 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088817.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 27092 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088816.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 27119 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088815.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25323 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088814.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25346 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088813.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25350 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088812.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25366 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088811.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 27138 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088810.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25377 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088809.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 27103 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088808.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25356 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088807.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25330 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088806.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25394 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088805.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 25395 cytochrome b (cytb) gene, complete cds; mitochondrial
OR088804.1	Spermophilus major	Spermophilus major voucher IDB RAS CWT 27118 cytochrome b (cytb) gene, complete cds; mitochondrial
