CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
OM743425.1	Canis lupus	Canis lupus isolate M81 mitochondrion, complete genome
OM743424.1	Canis lupus	Canis lupus isolate M80 mitochondrion, complete genome
OM743415.1	Canis lupus	Canis lupus isolate M69 mitochondrion, complete genome
OM743406.1	Canis lupus	Canis lupus isolate M60 mitochondrion, complete genome
OM743397.1	Canis lupus	Canis lupus isolate M48 mitochondrion, complete genome
OM743396.1	Canis lupus	Canis lupus isolate M47 mitochondrion, complete genome
OM743388.1	Canis lupus	Canis lupus isolate M38 mitochondrion, complete genome
OM743383.1	Canis lupus	Canis lupus isolate M30 mitochondrion, complete genome
OM743378.1	Canis lupus	Canis lupus isolate M22 mitochondrion, complete genome
OM743377.1	Canis lupus	Canis lupus isolate M19 mitochondrion, complete genome
OM743375.1	Canis lupus	Canis lupus isolate M16 mitochondrion, complete genome
OM743374.1	Canis lupus	Canis lupus isolate M15 mitochondrion, complete genome
OM743371.1	Canis lupus	Canis lupus isolate M112 mitochondrion, complete genome
OM743370.1	Canis lupus	Canis lupus isolate M110 mitochondrion, complete genome
OM743369.1	Canis lupus	Canis lupus isolate M108 mitochondrion, complete genome
OK052506.1	Canis lupus	Canis lupus voucher CCH3 mitochondrion, complete genome
NC_072952.1	Rhipicephalus rutilus	Rhipicephalus rutilus isolate IZ12-T3:JS6028 haplogroup southeastern Europe mitochondrion, complete genome
NC_062630.1	Ixodes cornuatus	Ixodes cornuatus voucher B5603 mitochondrion, complete genome
OQ339702.1	Canis lupus	Canis lupus isolate CLUPTJ000006 mitochondrion, partial genome
OQ339701.1	Canis lupus	Canis lupus isolate CLUPTJ000005 mitochondrion, partial genome
OQ339700.1	Canis lupus	Canis lupus isolate CLUPTJ000004 mitochondrion, partial genome
OQ339699.1	Canis lupus	Canis lupus isolate CLUPTJ000003 mitochondrion, partial genome
OQ339698.1	Canis lupus	Canis lupus isolate CLUPSE000006 mitochondrion, partial genome
OQ339697.1	Canis lupus	Canis lupus isolate CLUPSE000005 mitochondrion, partial genome
OQ339696.1	Canis lupus	Canis lupus isolate CLUPSE000004 mitochondrion, partial genome
OQ339695.1	Canis lupus	Canis lupus isolate CLUPSE000003 mitochondrion, partial genome
OQ339694.1	Canis lupus	Canis lupus isolate CLUPSE000002 mitochondrion, partial genome
OQ339693.1	Canis lupus	Canis lupus isolate CLUPSE000001 mitochondrion, partial genome
OQ339692.1	Canis lupus	Canis lupus isolate CLUPRU000014 mitochondrion, partial genome
OQ339691.1	Canis lupus	Canis lupus isolate CLUPRU000013 mitochondrion, partial genome
OQ339690.1	Canis lupus	Canis lupus isolate CLUPRU000012 mitochondrion, partial genome
OQ339689.1	Canis lupus	Canis lupus isolate CLUPRU000011 mitochondrion, partial genome
OQ339688.1	Canis lupus	Canis lupus isolate CLUPRU000010 mitochondrion, partial genome
OQ339687.1	Canis lupus	Canis lupus isolate CLUPRU000009 mitochondrion, partial genome
OQ339686.1	Canis lupus	Canis lupus isolate CLUPRU000008 mitochondrion, partial genome
OQ339685.1	Canis lupus	Canis lupus isolate CLUPRU000007 mitochondrion, partial genome
OQ339684.1	Canis lupus	Canis lupus isolate CLUPRU000006 mitochondrion, partial genome
OQ339683.1	Canis lupus	Canis lupus isolate CLUPRU000005 mitochondrion, partial genome
OQ339682.1	Canis lupus	Canis lupus isolate CLUPRU000004 mitochondrion, partial genome
OQ339681.1	Canis lupus	Canis lupus isolate CLUPRU000003 mitochondrion, partial genome
OQ339680.1	Canis lupus	Canis lupus isolate CLUPRU000002 mitochondrion, partial genome
OQ339679.1	Canis lupus	Canis lupus isolate CLUPRU000001 mitochondrion, partial genome
OQ339678.1	Canis lupus	Canis lupus isolate CLUPPT000002 mitochondrion, partial genome
OQ339677.1	Canis lupus	Canis lupus isolate CLUPPT000001 mitochondrion, partial genome
OQ339676.1	Canis lupus	Canis lupus isolate CLUPKZ000002 mitochondrion, partial genome
OQ339675.1	Canis lupus	Canis lupus isolate CLUPIR000006 mitochondrion, partial genome
OQ339674.1	Canis lupus	Canis lupus isolate CLUPIR000005 mitochondrion, partial genome
OQ339673.1	Canis lupus	Canis lupus isolate CLUPIR000004 mitochondrion, partial genome
OQ339672.1	Canis lupus	Canis lupus isolate CLUPIR000003 mitochondrion, partial genome
OQ339671.1	Canis lupus	Canis lupus isolate CLUPIR000002 mitochondrion, partial genome
OQ339670.1	Canis lupus	Canis lupus isolate CLUPIR000001 mitochondrion, partial genome
OQ339669.1	Canis lupus	Canis lupus isolate CLUPGR000012 mitochondrion, partial genome
OQ339668.1	Canis lupus	Canis lupus isolate CLUPGR000011 mitochondrion, partial genome
OQ339667.1	Canis lupus	Canis lupus isolate CLUPGR000010 mitochondrion, partial genome
OQ339666.1	Canis lupus	Canis lupus isolate CLUPGR000009 mitochondrion, partial genome
