NC_001912.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrion, complete genome
AB194383.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome
AB478573.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M09
AB478572.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M06
AB478571.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M04
AB478570.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M10
AB478569.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M08
AB478568.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M07
AB478567.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M05
AB478566.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M03
AB478565.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M02
AB478564.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum mitochondrial DNA, complete genome, isolate: Bl-M01
Y16474.1	Branchiostoma lanceolatum	Branchiostoma lanceolatum complete mitochondrial genome
