NC_012389.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
OM908902.1	Rattus exulans	Rattus exulans isolate Sikopo6 mitochondrion, complete genome
OM908901.1	Rattus exulans	Rattus exulans isolate Sikopo5 mitochondrion, complete genome
OM908900.1	Rattus exulans	Rattus exulans isolate Sikopo4 mitochondrion, complete genome
OM908899.1	Rattus exulans	Rattus exulans isolate Sikopo3 mitochondrion, complete genome
OM908898.1	Rattus exulans	Rattus exulans isolate Sikopo2 mitochondrion, complete genome
OM908897.1	Rattus exulans	Rattus exulans isolate Sikopo1 mitochondrion, complete genome
OM908896.1	Rattus exulans	Rattus exulans isolate MS11190 mitochondrion, complete genome
OM908895.1	Rattus exulans	Rattus exulans isolate MS11185 mitochondrion, complete genome
OM908894.1	Rattus exulans	Rattus exulans isolate MS11182 mitochondrion, complete genome
OM908893.1	Rattus exulans	Rattus exulans isolate MS11181 mitochondrion, complete genome
OM908892.1	Rattus exulans	Rattus exulans isolate MS11180 mitochondrion, complete genome
OM908891.1	Rattus exulans	Rattus exulans isolate M61359 mitochondrion, complete genome
OM908890.1	Rattus exulans	Rattus exulans isolate M61358 mitochondrion, complete genome
MT936931.1	Hepatozoon sp.	Hepatozoon sp. mitochondrion, complete genome
MT936930.1	Hepatozoon sp.	Hepatozoon sp. mitochondrion, complete genome
MT936929.1	Hepatozoon sp.	Hepatozoon sp. mitochondrion, complete genome
MN126569.1	Rattus exulans	Rattus exulans voucher BOR577 mitochondrion, complete genome
MK570632.1	Angiostrongylus cantonensis	Angiostrongylus cantonensis isolate FH.1 mitochondrion, complete genome
MK570630.1	Angiostrongylus cantonensis	Angiostrongylus cantonensis isolate HAW.1 mitochondrion, complete genome
KY814721.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814720.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814719.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814718.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814717.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814716.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814715.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814714.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814713.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814712.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814711.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814710.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
KY814709.1	Rattus exulans	Rattus exulans mitochondrion, complete genome
EU273711.1	Rattus exulans	Rattus exulans isolate RNZAwa01 mitochondrion, complete genome
EU273710.1	Rattus exulans	Rattus exulans isolate RAU8480Thai mitochondrion, complete genome
EU273709.1	Rattus exulans	Rattus exulans isolate RPNGYur 9Oct06 mitochondrion, complete genome
KJ530564.1	Rattus exulans	Rattus exulans isolate R4824 mitochondrion, complete genome
