NC_035159.1	Aedes aegypti	Aedes aegypti strain LVP_AGWG mitochondrion, complete genome
NC_014574.1	Culex quinquefasciatus	Culex quinquefasciatus mitochondrion, complete genome
CM046323.1	Aedes aegypti aegypti	Aedes aegypti aegypti strain Rockefeller isolate ROCK_F3 mitochondrion, complete sequence, whole genome shotgun sequence
OM685200.1	Aedes aegypti	Aedes aegypti isolate Aa_F7_C mitochondrion, partial genome
OM685199.1	Aedes aegypti	Aedes aegypti isolate Aa_F7_B mitochondrion, partial genome
OM685198.1	Aedes aegypti	Aedes aegypti isolate Aa_F7_A mitochondrion, partial genome
OM685197.1	Aedes aegypti	Aedes aegypti isolate Aa_F3 mitochondrion, partial genome
OM214532.1	Aedes aegypti	Aedes aegypti isolate YK_2018 mitochondrion, complete genome
OM214531.1	Aedes aegypti	Aedes aegypti isolate GV_2018 mitochondrion, complete genome
OM214530.1	Aedes aegypti	Aedes aegypti isolate GV_2013 mitochondrion, complete genome
OM214529.1	Aedes aegypti	Aedes aegypti isolate Lab mitochondrion, complete genome
OM214528.1	Aedes aegypti	Aedes aegypti isolate wC45_F10 mitochondrion, complete genome
OM214527.1	Aedes aegypti	Aedes aegypti isolate wC45_F9 mitochondrion, complete genome
OM214526.1	Aedes aegypti	Aedes aegypti isolate GV_2020 mitochondrion, complete genome
OM214525.1	Aedes aegypti	Aedes aegypti isolate YK_2020 mitochondrion, complete genome
MK575474.1	Aedes aegypti	Aedes aegypti mitochondrion, complete genome
MF194022.1	Aedes aegypti	Aedes aegypti strain LVP_AGWG mitochondrion, complete genome
EU352212.1	Aedes aegypti	Aedes aegypti mitochondrion, complete genome
GU188856.2	Culex quinquefasciatus	Culex quinquefasciatus mitochondrion, complete genome
AY947399.1	Aedes aegypti	Aedes aegypti haplotype 19 tRNA-Ile gene, partial sequence; D-loop, complete sequence; and 12S ribosomal RNA gene, partial sequence; mitochondrial
AY947398.1	Aedes aegypti	Aedes aegypti haplotype 1 tRNA-Ile gene, partial sequence; D-loop, complete sequence; and 12S ribosomal RNA gene, partial sequence; mitochondrial
