NC_011037.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei mitochondrion, complete genome
OX421841.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei isolate SerJ.yamaguchi genome assembly, organelle: mitochondrion
AB374543.1	Spirometra mansoni	Spirometra mansoni mitochondrial DNA, complete genome
AP017668.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei mitochondrial DNA, complete genome
KY114889.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei voucher SC-LS mitochondrion, complete genome
KY114888.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei voucher HN-WZS mitochondrion, complete genome
KY114887.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei voucher HeN-ZZ mitochondrion, complete genome
KY114886.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei voucher JS-ZJ mitochondrion, complete genome
KU852381.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei mitochondrion, complete genome
KJ599680.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei mitochondrion, complete genome
KJ599679.1	Spirometra decipiens	Spirometra decipiens mitochondrion, complete genome
JQ267473.1	Spirometra erinaceieuropaei	Spirometra erinaceieuropaei, complete genome
