OQ868402.1	Equus asinus	Equus asinus isolate SpitiDonkey7 mitochondrion, complete genome
OQ868401.1	Equus asinus	Equus asinus isolate SpitiDonkey6 mitochondrion, complete genome
OQ868400.1	Equus asinus	Equus asinus isolate SpitiDonkey5 mitochondrion, complete genome
OQ868399.1	Equus asinus	Equus asinus isolate SpitiDonkey4 mitochondrion, complete genome
OQ868398.1	Equus asinus	Equus asinus isolate SpitiDonkey3 mitochondrion, complete genome
OQ868397.1	Equus asinus	Equus asinus isolate SpitiDonkey2 mitochondrion, complete genome
OQ868396.1	Equus asinus	Equus asinus isolate SpitiDonkey1 mitochondrion, complete genome
OQ868395.1	Equus asinus	Equus asinus isolate HalariDonkey8 mitochondrion, complete genome
OQ868394.1	Equus asinus	Equus asinus isolate HalariDonkey7 mitochondrion, complete genome
OQ868393.1	Equus asinus	Equus asinus isolate HalariDonkey6 mitochondrion, complete genome
OQ868392.1	Equus asinus	Equus asinus isolate HalariDonkey5 mitochondrion, complete genome
OQ868391.1	Equus asinus	Equus asinus isolate HalariDonkey4 mitochondrion, complete genome
OQ868390.1	Equus asinus	Equus asinus isolate HalariDonkey3 mitochondrion, complete genome
OQ868389.1	Equus asinus	Equus asinus isolate HalariDonkey2 mitochondrion, complete genome
OQ868388.1	Equus asinus	Equus asinus isolate HalariDonkey1 mitochondrion, complete genome
OQ868387.1	Equus asinus	Equus asinus isolate KachchhiDonkey7 mitochondrion, complete genome
OQ868386.1	Equus asinus	Equus asinus isolate KachchhiDonkey6 mitochondrion, complete genome
OQ868385.1	Equus asinus	Equus asinus isolate KachchhiDonkey5 mitochondrion, complete genome
OQ868384.1	Equus asinus	Equus asinus isolate KachchhiDonkey4 mitochondrion, complete genome
OQ868383.1	Equus asinus	Equus asinus isolate KachchhiDonkey3 mitochondrion, complete genome
OQ868382.1	Equus asinus	Equus asinus isolate KachchhiDonkey2 mitochondrion, complete genome
OQ868381.1	Equus asinus	Equus asinus isolate KachchhiDonkey1 mitochondrion, complete genome
OQ868380.1	Equus asinus	Equus asinus isolate AgraDonkey5 mitochondrion, complete genome
OQ868379.1	Equus asinus	Equus asinus isolate AgraDonkey4 mitochondrion, complete genome
OQ868378.1	Equus asinus	Equus asinus isolate AgraDonkey3 mitochondrion, complete genome
OQ868377.1	Equus asinus	Equus asinus isolate AgraDonkey2 mitochondrion, complete genome
OQ868376.1	Equus asinus	Equus asinus isolate AgraDonkey1 mitochondrion, complete genome
NC_001788.1	Equus asinus	Equus asinus mitochondrion, complete genome
OP095377.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H11 mitochondrion sequence
OP095376.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H10 mitochondrion sequence
OP095375.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H9 mitochondrion sequence
OP095374.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H8 mitochondrion sequence
OP095373.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H7 mitochondrion sequence
OP095372.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H6 mitochondrion sequence
OP095371.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H5 mitochondrion sequence
OP095370.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H4 mitochondrion sequence
OP095369.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H3 mitochondrion sequence
OP095368.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H2 mitochondrion sequence
OP095367.1	Equus asinus	UNVERIFIED: Equus asinus haplotype H1 mitochondrion sequence
MZ911746.1	Equus asinus	Equus asinus mitochondrion, complete genome
MK317978.1	Equus asinus	Equus asinus voucher XJL02-20181120 mitochondrion, complete genome
MK317977.1	Equus asinus	Equus asinus voucher XJL20181120 mitochondrion, complete genome
MK982180.1	Equus asinus	Equus asinus breed Anatolia Donkey mitochondrion, complete genome
MK896308.1	Equus asinus	Equus asinus isolate 9348 mitochondrion, complete genome
MK896307.1	Equus asinus	Equus asinus isolate YPO218 mitochondrion, complete genome
MK896306.1	Equus asinus	Equus asinus isolate YPO133 mitochondrion, complete genome
MK896305.1	Equus asinus	Equus asinus isolate YPO212 mitochondrion, complete genome
MK896304.1	Equus asinus	Equus asinus isolate YPO211 mitochondrion, complete genome
MK896303.1	Equus asinus	Equus asinus isolate YPO210 mitochondrion, complete genome
MK896302.1	Equus asinus	Equus asinus isolate YPO144 mitochondrion, complete genome
MK896301.1	Equus asinus	Equus asinus isolate YPO142-3 mitochondrion, complete genome
MK896300.1	Equus asinus	Equus asinus isolate YPO138 mitochondrion, complete genome
MK896299.1	Equus asinus	Equus asinus isolate YPO136 mitochondrion, complete genome
MK896298.1	Equus asinus	Equus asinus isolate YPO125 mitochondrion, complete genome
MK896297.1	Equus asinus	Equus asinus isolate YPO122 mitochondrion, complete genome
MK896296.1	Equus asinus	Equus asinus isolate YPO116 mitochondrion, complete genome
MK896295.1	Equus asinus	Equus asinus isolate YPO111 mitochondrion, complete genome
MK896294.1	Equus asinus	Equus asinus isolate YPO92 mitochondrion, complete genome
MK896293.1	Equus asinus	Equus asinus isolate YPO66 mitochondrion, complete genome
MK896292.1	Equus asinus	Equus asinus isolate YPO65 mitochondrion, complete genome
MK896291.1	Equus asinus	Equus asinus isolate YPO216 mitochondrion, complete genome
