NC_024591.1	Taenia crocutae	Taenia crocutae isolate 41(2011) voucher MZH:127009 mitochondrion, complete genome
NC_020670.1	Crocuta crocuta	Crocuta crocuta isolate CC8 mitochondrion, complete genome
MN320467.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320466.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320465.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320464.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320463.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320455.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320454.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320453.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320452.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320451.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320450.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
MN320449.1	Crocuta crocuta	Crocuta crocuta mitochondrion, complete genome
CM018432.1	Crocuta crocuta	Crocuta crocuta isolate KB4526 mitochondrion, complete sequence, whole genome shotgun sequence
AB905203.1	Taenia sp. MZH:127052	Taenia sp. MZH:127052 mitochondrial DNA, complete genome
AB905202.1	Taenia sp. MPM<JPN>:20922	Taenia sp. MPM<JPN>:20922 mitochondrial DNA, complete genome
AB905201.1	Taenia crocutae	Taenia crocutae mitochondrial DNA, complete genome
AB905200.1	Taenia sp. MZH:127001	Taenia sp. MZH:127001 mitochondrial DNA, complete genome
JF894379.1	Crocuta crocuta	Crocuta crocuta isolate CC9 mitochondrion, complete genome
JF894378.1	Crocuta crocuta	Crocuta crocuta isolate CC8 mitochondrion, complete genome
JF894377.1	Crocuta crocuta	Crocuta crocuta isolate Kira mitochondrion, complete genome
