NC_004537.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrion, complete genome
AY932825.1	Branchiostoma belcheri	Branchiostoma belcheri strain O4.6 mitochondrion, complete genome
AB478563.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T10
AB478562.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T09
AB478561.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T08
AB478560.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T07
AB478559.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T06
AB478558.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T05
AB478557.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T04
AB478556.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T03
AB478555.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T02
AB478554.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate: Bb-T01
AB083385.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate:Akashi-2
AB083384.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate:Akashi-1
AB083383.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome, isolate:Genkai-2
AB078191.1	Branchiostoma belcheri	Branchiostoma belcheri mitochondrial DNA, complete genome
