NC_064558.1	Orcinus orca	Orcinus orca mitochondrion, complete genome
NC_019578.2	Globicephala macrorhynchus	Globicephala macrorhynchus mitochondrion, complete genome
NC_019577.1	Pseudorca crassidens	Pseudorca crassidens mitochondrion, complete genome
MH062792.1	Orcinus orca	Orcinus orca isolate Orca3275_S27 mitochondrion, complete genome
KR180367.1	Orcinus orca	Orcinus orca isolate MtGen_99 mitochondrion, complete genome
KR180366.1	Orcinus orca	Orcinus orca isolate MtGen_97 mitochondrion, complete genome
KR180365.1	Orcinus orca	Orcinus orca isolate MtGen_96 mitochondrion, complete genome
KR180364.1	Orcinus orca	Orcinus orca isolate MtGen_94 mitochondrion, complete genome
KR180363.1	Orcinus orca	Orcinus orca isolate MtGen_93 mitochondrion, complete genome
KR180362.1	Orcinus orca	Orcinus orca isolate MtGen_92 mitochondrion, complete genome
KR180361.1	Orcinus orca	Orcinus orca isolate MtGen_91 mitochondrion, complete genome
KR180360.1	Orcinus orca	Orcinus orca isolate MtGen_90 mitochondrion, complete genome
KR180359.1	Orcinus orca	Orcinus orca isolate MtGen_89 mitochondrion, complete genome
KR180358.1	Orcinus orca	Orcinus orca isolate MtGen_88 mitochondrion, complete genome
KR180357.1	Orcinus orca	Orcinus orca isolate MtGen_87 mitochondrion, complete genome
KR180356.1	Orcinus orca	Orcinus orca isolate MtGen_86 mitochondrion, complete genome
KR180355.1	Orcinus orca	Orcinus orca isolate MtGen_85 mitochondrion, complete genome
KR180354.1	Orcinus orca	Orcinus orca isolate MtGen_84 mitochondrion, complete genome
KR180353.1	Orcinus orca	Orcinus orca isolate MtGen_83 mitochondrion, complete genome
KR180352.1	Orcinus orca	Orcinus orca isolate MtGen_82 mitochondrion, complete genome
KR180351.1	Orcinus orca	Orcinus orca isolate MtGen_81 mitochondrion, complete genome
KR180350.1	Orcinus orca	Orcinus orca isolate MtGen_80 mitochondrion, complete genome
KR180349.1	Orcinus orca	Orcinus orca isolate MtGen_79 mitochondrion, complete genome
KR180348.1	Orcinus orca	Orcinus orca isolate MtGen_78 mitochondrion, complete genome
KR180347.1	Orcinus orca	Orcinus orca isolate MtGen_77 mitochondrion, complete genome
KR180346.1	Orcinus orca	Orcinus orca isolate MtGen_76 mitochondrion, complete genome
KR180345.1	Orcinus orca	Orcinus orca isolate MtGen_75 mitochondrion, complete genome
KR180344.1	Orcinus orca	Orcinus orca isolate MtGen_74 mitochondrion, complete genome
KR180343.1	Orcinus orca	Orcinus orca isolate MtGen_73 mitochondrion, complete genome
KR180342.1	Orcinus orca	Orcinus orca isolate MtGen_72 mitochondrion, complete genome
KR180341.1	Orcinus orca	Orcinus orca isolate MtGen_71 mitochondrion, complete genome
KR180340.1	Orcinus orca	Orcinus orca isolate MtGen_70 mitochondrion, complete genome
KR180339.1	Orcinus orca	Orcinus orca isolate MtGen_69 mitochondrion, complete genome
KR180338.1	Orcinus orca	Orcinus orca isolate MtGen_68 mitochondrion, complete genome
KR180337.1	Orcinus orca	Orcinus orca isolate MtGen_140 mitochondrion, complete genome
KR180336.1	Orcinus orca	Orcinus orca isolate MtGen_139 mitochondrion, complete genome
KR180335.1	Orcinus orca	Orcinus orca isolate MtGen_138 mitochondrion, complete genome
KR180334.1	Orcinus orca	Orcinus orca isolate MtGen_137 mitochondrion, complete genome
KR180332.1	Orcinus orca	Orcinus orca isolate MtGen_135 mitochondrion, complete genome
KR180331.1	Orcinus orca	Orcinus orca isolate MtGen_134 mitochondrion, complete genome
KR180330.1	Orcinus orca	Orcinus orca isolate MtGen_133 mitochondrion, complete genome
KR180327.1	Orcinus orca	Orcinus orca isolate MtGen_130 mitochondrion, complete genome
KR180325.1	Orcinus orca	Orcinus orca isolate MtGen_128 mitochondrion, complete genome
KR180324.1	Orcinus orca	Orcinus orca isolate MtGen_127 mitochondrion, complete genome
KR180323.1	Orcinus orca	Orcinus orca isolate MtGen_126 mitochondrion, complete genome
KR180322.1	Orcinus orca	Orcinus orca isolate MtGen_124 mitochondrion, complete genome
KR180321.1	Orcinus orca	Orcinus orca isolate MtGen_120 mitochondrion, complete genome
KR180320.1	Orcinus orca	Orcinus orca isolate MtGen_119 mitochondrion, complete genome
KR180319.1	Orcinus orca	Orcinus orca isolate MtGen_118 mitochondrion, complete genome
KR180318.1	Orcinus orca	Orcinus orca isolate MtGen_117 mitochondrion, complete genome
KR180317.1	Orcinus orca	Orcinus orca isolate MtGen_116 mitochondrion, complete genome
KR180316.1	Orcinus orca	Orcinus orca isolate MtGen_115 mitochondrion, complete genome
KR180315.1	Orcinus orca	Orcinus orca isolate MtGen_114 mitochondrion, complete genome
KR180314.1	Orcinus orca	Orcinus orca isolate MtGen_113 mitochondrion, complete genome
KR180313.1	Orcinus orca	Orcinus orca isolate MtGen_112 mitochondrion, complete genome
KR180312.1	Orcinus orca	Orcinus orca isolate MtGen_111 mitochondrion, complete genome
KR180311.1	Orcinus orca	Orcinus orca isolate MtGen_109 mitochondrion, complete genome
KR180310.1	Orcinus orca	Orcinus orca isolate MtGen_108 mitochondrion, complete genome
KR180309.1	Orcinus orca	Orcinus orca isolate MtGen_107 mitochondrion, complete genome
KR180308.1	Orcinus orca	Orcinus orca isolate MtGen_106 mitochondrion, complete genome
KR180307.1	Orcinus orca	Orcinus orca isolate MtGen_105 mitochondrion, complete genome
KR180306.1	Orcinus orca	Orcinus orca isolate MtGen_104 mitochondrion, complete genome
KR180305.1	Orcinus orca	Orcinus orca isolate MtGen_101 mitochondrion, complete genome
KR180304.1	Orcinus orca	Orcinus orca isolate MtGen_100 mitochondrion, complete genome
KR180303.1	Orcinus orca	Orcinus orca isolate SWFSC ID z94444 mitochondrion, complete genome
KR180300.1	Orcinus orca	Orcinus orca isolate SWFSC ID z44459 mitochondrion, complete genome
KR180299.1	Orcinus orca	Orcinus orca isolate SWFSC ID z124661 mitochondrion, complete genome
HM060333.2	Globicephala macrorhynchus	Globicephala macrorhynchus voucher SWFSC:67152 mitochondrion, complete genome
HM060334.1	Globicephala melas	Globicephala melas mitochondrion, complete genome
HM060332.1	Pseudorca crassidens	Pseudorca crassidens mitochondrion, complete genome
GU187211.2	Orcinus orca	Orcinus orca isolate AntC2 mitochondrion, complete genome
GU187219.1	Orcinus orca	Orcinus orca isolate AntA4 mitochondrion, complete genome
GU187218.1	Orcinus orca	Orcinus orca isolate AntA3 mitochondrion, complete genome
GU187217.1	Orcinus orca	Orcinus orca isolate AntA1 mitochondrion, complete genome
GU187216.1	Orcinus orca	Orcinus orca isolate WNAUGM mitochondrion, complete genome
GU187215.1	Orcinus orca	Orcinus orca isolate AntB1 mitochondrion, complete genome
GU187214.1	Orcinus orca	Orcinus orca isolate AntB4 mitochondrion, complete genome
GU187213.1	Orcinus orca	Orcinus orca isolate AntB2 mitochondrion, complete genome
GU187212.1	Orcinus orca	Orcinus orca isolate AntB3 mitochondrion, complete genome
GU187210.1	Orcinus orca	Orcinus orca isolate AntC1 mitochondrion, complete genome
GU187209.1	Orcinus orca	Orcinus orca isolate AntC10 mitochondrion, complete genome
GU187208.1	Orcinus orca	Orcinus orca isolate AntC5 mitochondrion, complete genome
GU187207.1	Orcinus orca	Orcinus orca isolate AntC3 mitochondrion, complete genome
GU187206.1	Orcinus orca	Orcinus orca isolate AntC9 mitochondrion, complete genome
GU187205.1	Orcinus orca	Orcinus orca isolate AntC4 mitochondrion, complete genome
GU187204.1	Orcinus orca	Orcinus orca isolate AntC8 mitochondrion, complete genome
GU187203.1	Orcinus orca	Orcinus orca isolate AntC6 mitochondrion, complete genome
GU187202.1	Orcinus orca	Orcinus orca isolate WNAUCAN mitochondrion, complete genome
GU187201.1	Orcinus orca	Orcinus orca isolate ENPOAL2 mitochondrion, complete genome
GU187200.1	Orcinus orca	Orcinus orca isolate ENPOAL1 mitochondrion, complete genome
GU187199.1	Orcinus orca	Orcinus orca isolate ETPUMex1_CI mitochondrion, complete genome
GU187198.1	Orcinus orca	Orcinus orca isolate ETPUMex2 mitochondrion, complete genome
GU187197.1	Orcinus orca	Orcinus orca isolate ENPOGA mitochondrion, complete genome
GU187196.1	Orcinus orca	Orcinus orca isolate WNPNRRU mitochondrion, complete genome
GU187195.1	Orcinus orca	Orcinus orca isolate ENPSRBC mitochondrion, complete genome
GU187194.1	Orcinus orca	Orcinus orca isolate ENPNRAL2 mitochondrion, complete genome
GU187193.1	Orcinus orca	Orcinus orca isolate ENPNRGA_AL_PI_ENPUCA1 mitochondrion, complete genome
GU187192.1	Orcinus orca	Orcinus orca isolate WNPNRAL mitochondrion, complete genome
GU187191.1	Orcinus orca	Orcinus orca isolate CNPNRAL2 mitochondrion, complete genome
GU187190.1	Orcinus orca	Orcinus orca isolate CNPNRAL1 mitochondrion, complete genome
GU187189.1	Orcinus orca	Orcinus orca isolate CNPNRAL mitochondrion, complete genome
GU187188.1	Orcinus orca	Orcinus orca isolate ENAUI_ENAME mitochondrion, complete genome
GU187187.1	Orcinus orca	Orcinus orca isolate ETPUHI1 mitochondrion, complete genome
GU187186.1	Orcinus orca	Orcinus orca isolate ENAHN5 mitochondrion, complete genome
GU187185.1	Orcinus orca	Orcinus orca isolate ENAHN7 mitochondrion, complete genome
GU187184.1	Orcinus orca	Orcinus orca isolate ENAHN6 mitochondrion, complete genome
GU187183.1	Orcinus orca	Orcinus orca isolate ENAHN2 mitochondrion, complete genome
GU187182.1	Orcinus orca	Orcinus orca isolate ENAHN3 mitochondrion, complete genome
GU187181.1	Orcinus orca	Orcinus orca isolate ENAHN8 mitochondrion, complete genome
GU187180.1	Orcinus orca	Orcinus orca isolate ENAHI1 mitochondrion, complete genome
GU187179.1	Orcinus orca	Orcinus orca isolate ENAHI2 mitochondrion, complete genome
GU187178.1	Orcinus orca	Orcinus orca isolate ENAHN1 mitochondrion, complete genome
GU187177.1	Orcinus orca	Orcinus orca isolate ENAHN4 mitochondrion, complete genome
GU187176.1	Orcinus orca	Orcinus orca isolate ENATG mitochondrion, complete genome
GU187175.1	Orcinus orca	Orcinus orca isolate SWPUNZ mitochondrion, complete genome
GU187174.1	Orcinus orca	Orcinus orca isolate ENPTGA2 mitochondrion, complete genome
GU187173.1	Orcinus orca	Orcinus orca isolate ENPTAL2 mitochondrion, complete genome
GU187172.1	Orcinus orca	Orcinus orca isolate WNPTAL1_CNPTAL mitochondrion, complete genome
GU187171.1	Orcinus orca	Orcinus orca isolate ENPTAL3 mitochondrion, complete genome
GU187170.1	Orcinus orca	Orcinus orca isolate CNPUBS mitochondrion, complete genome
GU187169.1	Orcinus orca	Orcinus orca isolate ENPTPI1 mitochondrion, complete genome
GU187168.1	Orcinus orca	Orcinus orca isolate ENPTCA_ENPUCA2 mitochondrion, complete genome
GU187167.1	Orcinus orca	Orcinus orca isolate ENPUCA3 mitochondrion, complete genome
GU187166.1	Orcinus orca	Orcinus orca isolate ETPUHI2 mitochondrion, complete genome
GU187164.1	Orcinus orca	Orcinus orca isolate ENPTAL1 mitochondrion, complete genome
GU187163.1	Orcinus orca	Orcinus orca isolate ENPUCA4 mitochondrion, complete genome
GU187162.1	Orcinus orca	Orcinus orca isolate ENPTSEA2 mitochondrion, complete genome
GU187161.1	Orcinus orca	Orcinus orca isolate WNPTRU3 mitochondrion, complete genome
GU187160.1	Orcinus orca	Orcinus orca isolate ENPTPI2 mitochondrion, complete genome
GU187159.1	Orcinus orca	Orcinus orca isolate WNPTRU1 mitochondrion, complete genome
GU187158.1	Orcinus orca	Orcinus orca isolate WNPTAL2 mitochondrion, complete genome
GU187157.1	Orcinus orca	Orcinus orca isolate WNPTRU4 mitochondrion, complete genome
GU187156.1	Orcinus orca	Orcinus orca isolate WNPTRU2 mitochondrion, complete genome
GU187155.1	Orcinus orca	Orcinus orca isolate AntA2 mitochondrion, complete genome
GU187154.1	Orcinus orca	Orcinus orca isolate ENAUS mitochondrion, partial genome
GU187153.1	Orcinus orca	Orcinus orca isolate AntC7 mitochondrion, partial genome
HQ405752.3	Orcinus orca	Orcinus orca isolate ENAC2 mitochondrion, complete genome
KF418393.1	Orcinus orca	Orcinus orca isolate ENANS11 mitochondrion, complete genome
KF418392.1	Orcinus orca	Orcinus orca isolate ENAHI3 mitochondrion, complete genome
KF418391.1	Orcinus orca	Orcinus orca isolate ENAHI4 mitochondrion, complete genome
KF418390.1	Orcinus orca	Orcinus orca isolate ENANS10 mitochondrion, complete genome
KF418389.1	Orcinus orca	Orcinus orca isolate ENAS3 mitochondrion, complete genome
KF418388.1	Orcinus orca	Orcinus orca isolate ENANS3 mitochondrion, complete genome
KF418387.1	Orcinus orca	Orcinus orca isolate ENANS5 mitochondrion, complete genome
KF418386.1	Orcinus orca	Orcinus orca isolate ENANS4 mitochondrion, complete genome
KF418385.1	Orcinus orca	Orcinus orca isolate ENANS1 mitochondrion, complete genome
KF418384.1	Orcinus orca	Orcinus orca isolate ENANS2 mitochondrion, complete genome
KF418383.1	Orcinus orca	Orcinus orca isolate ENAS4 mitochondrion, complete genome
KF418382.1	Orcinus orca	Orcinus orca isolate ENAS5 mitochondrion, complete genome
KF418381.1	Orcinus orca	Orcinus orca isolate ENANS6 mitochondrion, complete genome
KF418380.1	Orcinus orca	Orcinus orca isolate ENANS15 mitochondrion, complete genome
KF418379.1	Orcinus orca	Orcinus orca isolate ENANS16 mitochondrion, complete genome
KF418376.1	Orcinus orca	Orcinus orca isolate ENANS17 mitochondrion, complete genome
KF418375.1	Orcinus orca	Orcinus orca isolate ENANS7 mitochondrion, complete genome
KF418374.1	Orcinus orca	Orcinus orca isolate ENANS9 mitochondrion, complete genome
KF418373.1	Orcinus orca	Orcinus orca isolate ENANS8 mitochondrion, complete genome
KF418372.1	Orcinus orca	Orcinus orca isolate ENANS12 mitochondrion, complete genome
KF164610.1	Orcinus orca	Orcinus orca mitochondrion, complete genome
