NC_033407.1	Sardinella longiceps	Sardinella longiceps mitochondrion, complete genome
MG251981.1	Sardinella longiceps	Sardinella longiceps isolate VSK6 mitochondrion, complete genome
MG251980.1	Sardinella longiceps	Sardinella longiceps isolate VSK5 mitochondrion, complete genome
MG251979.1	Sardinella longiceps	Sardinella longiceps isolate VSK4 mitochondrion, complete genome
MG251978.1	Sardinella longiceps	Sardinella longiceps isolate VSK3 mitochondrion, complete genome
MG251977.1	Sardinella longiceps	Sardinella longiceps isolate VSK2 mitochondrion, complete genome
MG251976.1	Sardinella longiceps	Sardinella longiceps isolate VSK1 mitochondrion, complete genome
MG251975.1	Sardinella longiceps	Sardinella longiceps isolate VE6 mitochondrion, complete genome
MG251974.1	Sardinella longiceps	Sardinella longiceps isolate VE5 mitochondrion, complete genome
MG251973.1	Sardinella longiceps	Sardinella longiceps isolate VE4 mitochondrion, complete genome
MG251972.1	Sardinella longiceps	Sardinella longiceps isolate VE3 mitochondrion, complete genome
MG251971.1	Sardinella longiceps	Sardinella longiceps isolate VE2 mitochondrion, complete genome
MG251970.1	Sardinella longiceps	Sardinella longiceps isolate VE1 mitochondrion, complete genome
MG251969.1	Sardinella longiceps	Sardinella longiceps isolate TR6 mitochondrion, complete genome
MG251968.1	Sardinella longiceps	Sardinella longiceps isolate TR5 mitochondrion, complete genome
MG251967.1	Sardinella longiceps	Sardinella longiceps isolate TR4 mitochondrion, complete genome
MG251966.1	Sardinella longiceps	Sardinella longiceps isolate TR3 mitochondrion, complete genome
MG251965.1	Sardinella longiceps	Sardinella longiceps isolate TR2 mitochondrion, complete genome
MG251964.1	Sardinella longiceps	Sardinella longiceps isolate TR1 mitochondrion, complete genome
MG251963.1	Sardinella longiceps	Sardinella longiceps isolate OM5 mitochondrion, complete genome
MG251962.1	Sardinella longiceps	Sardinella longiceps isolate OM4 mitochondrion, complete genome
MG251961.1	Sardinella longiceps	Sardinella longiceps isolate OM3 mitochondrion, complete genome
MG251960.1	Sardinella longiceps	Sardinella longiceps isolate OM2 mitochondrion, complete genome
MG251959.1	Sardinella longiceps	Sardinella longiceps isolate OM1 mitochondrion, complete genome
MG251958.1	Sardinella longiceps	Sardinella longiceps isolate MA6 mitochondrion, complete genome
MG251957.1	Sardinella longiceps	Sardinella longiceps isolate MA5 mitochondrion, complete genome
MG251956.1	Sardinella longiceps	Sardinella longiceps isolate MA4 mitochondrion, complete genome
MG251955.1	Sardinella longiceps	Sardinella longiceps isolate MA3 mitochondrion, complete genome
MG251954.1	Sardinella longiceps	Sardinella longiceps isolate MA2 mitochondrion, complete genome
MG251953.1	Sardinella longiceps	Sardinella longiceps isolate MA1 mitochondrion, complete genome
MG251952.1	Sardinella longiceps	Sardinella longiceps isolate KL3 mitochondrion, complete genome
MG251951.1	Sardinella longiceps	Sardinella longiceps isolate KL2 mitochondrion, complete genome
MG251950.1	Sardinella longiceps	Sardinella longiceps isolate KL1 mitochondrion, complete genome
MG251949.1	Sardinella longiceps	Sardinella longiceps isolate CO3 mitochondrion, complete genome
MG251948.1	Sardinella longiceps	Sardinella longiceps isolate CO2 mitochondrion, complete genome
MG251947.1	Sardinella longiceps	Sardinella longiceps isolate CO1 mitochondrion, complete genome
MG251946.1	Sardinella longiceps	Sardinella longiceps isolate CH3 mitochondrion, complete genome
MG251945.1	Sardinella longiceps	Sardinella longiceps isolate CH2 mitochondrion, complete genome
MG251944.1	Sardinella longiceps	Sardinella longiceps isolate CH1 mitochondrion, complete genome
MG251943.1	Sardinella longiceps	Sardinella longiceps isolate CA4 mitochondrion, complete genome
MG251942.1	Sardinella longiceps	Sardinella longiceps isolate CA3 mitochondrion, complete genome
MG251941.1	Sardinella longiceps	Sardinella longiceps isolate CA2R mitochondrion, complete genome
MG251940.1	Sardinella longiceps	Sardinella longiceps isolate CA1L mitochondrion, complete genome
MG251939.1	Sardinella longiceps	Sardinella longiceps isolate BO3 mitochondrion, complete genome
MG251938.1	Sardinella longiceps	Sardinella longiceps isolate BO2 mitochondrion, complete genome
MG251937.1	Sardinella longiceps	Sardinella longiceps isolate BO1 mitochondrion, complete genome
KR000002.1	Sardinella longiceps	Sardinella longiceps mitochondrion, complete genome
