NC_007393.1	Rousettus aegyptiacus	Rousettus aegyptiacus mitochondrion, complete genome
CM024382.1	Rousettus aegyptiacus	Rousettus aegyptiacus isolate mRouAeg1 mitochondrion, complete sequence, whole genome shotgun sequence
MN816351.1	Rousettus aegyptiacus	Rousettus aegyptiacus voucher MHNG-1971.070 mitochondrion, complete genome
MN816350.1	Rousettus aegyptiacus	Rousettus aegyptiacus isolate T2209 mitochondrion, complete genome
MN816349.1	Rousettus aegyptiacus	Rousettus aegyptiacus voucher MHNG-1807.092 mitochondrion, complete genome
MN816348.1	Rousettus aegyptiacus	Rousettus aegyptiacus isolate T246 mitochondrion, complete genome
MN816347.1	Rousettus aegyptiacus	Rousettus aegyptiacus voucher MNHN-ZM-2011-863 mitochondrion, complete genome
MN816346.1	Rousettus aegyptiacus	Rousettus aegyptiacus voucher MNHN-ZM-2011-862 mitochondrion, complete genome
MN816345.1	Rousettus aegyptiacus	Rousettus aegyptiacus isolate 1412 mitochondrion, complete genome
JF728760.1	Rousettus aegyptiacus	Rousettus aegyptiacus isolate C07X140 cytochrome b (CYTB) gene, complete cds; mitochondrial
AB205183.1	Rousettus aegyptiacus	Rousettus aegyptiacus mitochondrial DNA, complete genome
