NC_031328.1	Babesia microti	Babesia microti mitochondrial DNA, genome structure type-II, complete sequence, strain: Munich
NC_012387.1	Mus musculus castaneus	Mus musculus castaneus mitochondrion, complete genome
NC_010339.1	Mus musculus musculus	Mus musculus musculus mitochondrion, complete genome
NC_006914.1	Mus musculus domesticus	Mus musculus domesticus mitochondrion, complete genome
NC_006915.1	Mus musculus molossinus	Mus musculus molossinus mitochondrion, complete genome
NC_005089.1	Mus musculus	Mus musculus mitochondrion, complete genome
AB092593.1	Mus musculus domesticus	Mus musculus domesticus mitochondrial DNA, complete genome, strain:C57BL/10ScSn-mdx
AB092592.1	Mus musculus domesticus	Mus musculus domesticus mitochondrial DNA, complete genome, strain:C57BL/6J
OM948981.1	Mus musculus	Mus musculus strain C57BL/6NCrl mitochondrion, complete genome
LC644162.1	Mus musculus	Mus musculus HS5561 mitochondrial DNA, complete genome
LC644161.1	Mus musculus	Mus musculus HS5560 mitochondrial DNA, complete genome
LC644160.1	Mus musculus	Mus musculus HS5559 mitochondrial DNA, complete genome
LC644159.1	Mus musculus	Mus musculus HS5558 mitochondrial DNA, complete genome
LC644158.1	Mus musculus	Mus musculus HS5555 mitochondrial DNA, complete genome
LC552928.1	Mus musculus	Mus musculus MG5135 mitochondrial DNA, complete genome
LC552927.1	Mus musculus	Mus musculus MG5086 mitochondrial DNA, complete genome
LC552926.1	Mus musculus	Mus musculus MG3066 mitochondrial DNA, complete genome
LC552925.1	Mus musculus	Mus musculus MG3056 mitochondrial DNA, complete genome
LC552924.1	Mus musculus	Mus musculus MG3048 mitochondrial DNA, complete genome
LC552923.1	Mus musculus	Mus musculus MG3045 mitochondrial DNA, complete genome
LC552922.1	Mus musculus	Mus musculus MG3044 mitochondrial DNA, complete genome
LC552921.1	Mus musculus	Mus musculus MG3037 mitochondrial DNA, complete genome
LC552920.1	Mus musculus	Mus musculus MG3026 mitochondrial DNA, complete genome
LC552919.1	Mus musculus	Mus musculus MG3025 mitochondrial DNA, complete genome
LC552918.1	Mus musculus	Mus musculus MG3018 mitochondrial DNA, complete genome
LC552917.1	Mus musculus	Mus musculus MG3012 mitochondrial DNA, complete genome
LC552916.1	Mus musculus	Mus musculus MG3010 mitochondrial DNA, complete genome
LC552915.1	Mus musculus	Mus musculus MG3008 mitochondrial DNA, complete genome
LC552914.1	Mus musculus	Mus musculus MG3007 mitochondrial DNA, complete genome
LC552913.1	Mus musculus	Mus musculus MG3004 mitochondrial DNA, complete genome
LC552912.1	Mus musculus	Mus musculus MG0992 mitochondrial DNA, complete genome
LC552911.1	Mus musculus	Mus musculus MG0917 mitochondrial DNA, complete genome
LC552910.1	Mus musculus	Mus musculus MG0908 mitochondrial DNA, complete genome
LC552909.1	Mus musculus	Mus musculus MG0871 mitochondrial DNA, complete genome
LC552908.1	Mus musculus	Mus musculus MG0863 mitochondrial DNA, complete genome
LC552907.1	Mus musculus	Mus musculus MG0797 mitochondrial DNA, complete genome
LC552906.1	Mus musculus	Mus musculus MG0795 mitochondrial DNA, complete genome
LC552905.1	Mus musculus	Mus musculus MG0747 mitochondrial DNA, complete genome
LC552904.1	Mus musculus	Mus musculus MG0721 mitochondrial DNA, complete genome
LC552903.1	Mus musculus	Mus musculus MG0715 mitochondrial DNA, complete genome
LC552902.1	Mus musculus	Mus musculus MG0713 mitochondrial DNA, complete genome
LC552901.1	Mus musculus	Mus musculus MG0709 mitochondrial DNA, complete genome
LC552900.1	Mus musculus	Mus musculus MG0686 mitochondrial DNA, complete genome
LC552899.1	Mus musculus	Mus musculus MG0631 mitochondrial DNA, complete genome
LC552898.1	Mus musculus	Mus musculus MG0611 mitochondrial DNA, complete genome
LC552897.1	Mus musculus	Mus musculus MG0608 mitochondrial DNA, complete genome
LC552896.1	Mus musculus	Mus musculus MG0597 mitochondrial DNA, complete genome
LC552895.1	Mus musculus	Mus musculus MG0577 mitochondrial DNA, complete genome
LC552894.1	Mus musculus	Mus musculus MG0565 mitochondrial DNA, complete genome
LC552893.1	Mus musculus	Mus musculus MG0529 mitochondrial DNA, complete genome
LC552892.1	Mus musculus	Mus musculus MG0507 mitochondrial DNA, complete genome
LC552891.1	Mus musculus	Mus musculus MG0504 mitochondrial DNA, complete genome
LC552890.1	Mus musculus	Mus musculus MG0501 mitochondrial DNA, complete genome
LC552889.1	Mus musculus	Mus musculus MG0444 mitochondrial DNA, complete genome
LC552888.1	Mus musculus	Mus musculus MG0417 mitochondrial DNA, complete genome
LC552887.1	Mus musculus	Mus musculus MG0297 mitochondrial DNA, complete genome
LC552886.1	Mus musculus	Mus musculus MG0296 mitochondrial DNA, complete genome
LC552885.1	Mus musculus	Mus musculus MG0230 mitochondrial DNA, complete genome
LC552884.1	Mus musculus	Mus musculus HS4411 mitochondrial DNA, complete genome
LC552883.1	Mus musculus	Mus musculus HS4273 mitochondrial DNA, complete genome
LC552882.1	Mus musculus	Mus musculus HS4272 mitochondrial DNA, complete genome
LC552881.1	Mus musculus	Mus musculus HS4271 mitochondrial DNA, complete genome
LC552880.1	Mus musculus	Mus musculus HS4238 mitochondrial DNA, complete genome
LC552879.1	Mus musculus	Mus musculus HS4233 mitochondrial DNA, complete genome
LC552878.1	Mus musculus	Mus musculus HS4169 mitochondrial DNA, complete genome
LC552877.1	Mus musculus	Mus musculus HS4120 mitochondrial DNA, complete genome
LC552876.1	Mus musculus	Mus musculus HS4097 mitochondrial DNA, complete genome
LC552875.1	Mus musculus	Mus musculus HS4056 mitochondrial DNA, complete genome
LC552874.1	Mus musculus	Mus musculus HS3612 mitochondrial DNA, complete genome
LC552873.1	Mus musculus	Mus musculus HS3608 mitochondrial DNA, complete genome
LC552872.1	Mus musculus	Mus musculus HS3607 mitochondrial DNA, complete genome
LC552871.1	Mus musculus	Mus musculus HS3605 mitochondrial DNA, complete genome
LC552870.1	Mus musculus	Mus musculus HS3604 mitochondrial DNA, complete genome
LC552869.1	Mus musculus	Mus musculus HS3538 mitochondrial DNA, complete genome
LC552868.1	Mus musculus	Mus musculus HS3534 mitochondrial DNA, complete genome
LC552867.1	Mus musculus	Mus musculus HS2815 mitochondrial DNA, complete genome
LC552866.1	Mus musculus	Mus musculus HS2788 mitochondrial DNA, complete genome
LC552865.1	Mus musculus	Mus musculus HS2445 mitochondrial DNA, complete genome
LC552864.1	Mus musculus	Mus musculus HS2400 mitochondrial DNA, complete genome
LC552863.1	Mus musculus	Mus musculus HS2326 mitochondrial DNA, complete genome
LC552862.1	Mus musculus	Mus musculus HS2323 mitochondrial DNA, complete genome
LC552861.1	Mus musculus	Mus musculus HS1523 mitochondrial DNA, complete genome
LC552860.1	Mus musculus	Mus musculus HS1467 mitochondrial DNA, complete genome
LC552859.1	Mus musculus	Mus musculus HS1464 mitochondrial DNA, complete genome
LC552858.1	Mus musculus	Mus musculus HS1411 mitochondrial DNA, complete genome
LC552857.1	Mus musculus	Mus musculus HS1368 mitochondrial DNA, complete genome
LC552856.1	Mus musculus	Mus musculus HS0682 mitochondrial DNA, complete genome
LC552855.1	Mus musculus	Mus musculus HI0520 mitochondrial DNA, complete genome
LC552854.1	Mus musculus	Mus musculus HI0505 mitochondrial DNA, complete genome
LC552853.1	Mus musculus	Mus musculus HI0488 mitochondrial DNA, complete genome
LC552852.1	Mus musculus	Mus musculus HI0484 mitochondrial DNA, complete genome
LC552851.1	Mus musculus	Mus musculus HI0373 mitochondrial DNA, complete genome
LC552850.1	Mus musculus	Mus musculus HI0372 mitochondrial DNA, complete genome
LC552849.1	Mus musculus	Mus musculus HI0347 mitochondrial DNA, complete genome
LC552848.1	Mus musculus	Mus musculus HI0329 mitochondrial DNA, complete genome
LC552847.1	Mus musculus	Mus musculus HI0328 mitochondrial DNA, complete genome
LC552846.1	Mus musculus	Mus musculus HI0321 mitochondrial DNA, complete genome
LC552845.1	Mus musculus	Mus musculus HI0313 mitochondrial DNA, complete genome
LC552844.1	Mus musculus	Mus musculus HI0274 mitochondrial DNA, complete genome
LC552843.1	Mus musculus	Mus musculus HI0273 mitochondrial DNA, complete genome
LC552842.1	Mus musculus	Mus musculus HI0264 mitochondrial DNA, complete genome
LC552841.1	Mus musculus	Mus musculus HI0261 mitochondrial DNA, complete genome
LC552840.1	Mus musculus	Mus musculus HI0187 mitochondrial DNA, complete genome
LC552839.1	Mus musculus	Mus musculus HI0185 mitochondrial DNA, complete genome
LC552838.1	Mus musculus	Mus musculus HI0175 mitochondrial DNA, complete genome
LC552837.1	Mus musculus	Mus musculus HI0173 mitochondrial DNA, complete genome
LC552836.1	Mus musculus	Mus musculus HI0161 mitochondrial DNA, complete genome
LC552835.1	Mus musculus	Mus musculus HI0159 mitochondrial DNA, complete genome
LC552834.1	Mus musculus	Mus musculus HI0134 mitochondrial DNA, complete genome
LC552833.1	Mus musculus	Mus musculus HI0116 mitochondrial DNA, complete genome
LC552832.1	Mus musculus	Mus musculus HI0115 mitochondrial DNA, complete genome
LC552831.1	Mus musculus	Mus musculus HI0112 mitochondrial DNA, complete genome
LC102498.1	Mesocestoides vogae	Mesocestoides vogae mitochondrial DNA, complete genome
LC102494.1	Rodentolepis nana	Rodentolepis nana mitochondrial DNA, complete genome
LC102493.1	Hymenolepis microstoma	Hymenolepis microstoma mitochondrial DNA, complete genome
MT410886.1	Mus musculus	Mus musculus isolate DM54 mitochondrion, complete genome
MN964117.1	Mus musculus	Mus musculus voucher MA364 mitochondrion, complete genome
KY018919.1	Mus musculus	Mus musculus mitochondrion, complete genome
EU315229.1	Mus musculus	Mus musculus clone B82 mitochondrion, complete genome
EU315228.1	Mus musculus	Mus musculus clone B82M mitochondrion, complete genome
EU312161.1	Mus musculus	Mus musculus clone A11 mitochondrion, complete genome
EU312160.1	Mus musculus	Mus musculus clone P29 mitochondrion, complete genome
EU450583.1	Mus musculus	Mus musculus strain MRL/MpJ mitochondrion, complete genome
DQ874614.2	Mus musculus musculus	Mus musculus musculus strain PWD/Ph mitochondrion, complete genome
JQ003190.1	Mus musculus	Mus musculus strain WOM/W mitochondrion, complete genome
DQ106413.1	Mus musculus	Mus Musculus strain VM mitochondrion, complete genome
DQ106412.1	Mus musculus	Mus Musculus strain C57BL/6J mitochondrion, complete genome
AY999076.1	Mus musculus	Mus musculus cell-line NIH/3T3 mitochondrion, complete genome
AY675564.1	Mus musculus molossinus	Mus musculus molossinus mitochondrion, complete genome
AY533108.1	Mus musculus	Mus musculus strain NON/Lt mitochondrion, complete genome
AY533107.1	Mus musculus	Mus musculus strain NOD/LtJ mitochondrion, complete genome
AY533106.1	Mus musculus	Mus musculus strain ALS/Lt mitochondrion, complete genome
AY533105.1	Mus musculus	Mus musculus strain ALR/Lt mitochondrion, complete genome
AY466499.1	Mus musculus	Mus musculus strain CBA/J mitochondrion, complete genome
AY172335.1	Mus musculus	Mus musculus strain C57BL/6J mitochondrion, complete genome
HQ675031.1	Mus musculus	Mus musculus isolate M10 mitochondrion, complete genome
HQ675030.1	Mus musculus	Mus musculus isolate M9 mitochondrion, complete genome
HQ675029.1	Mus musculus	Mus musculus isolate M7 mitochondrion, complete genome
HQ675028.1	Mus musculus	Mus musculus isolate M5 mitochondrion, complete genome
HQ675027.1	Mus musculus	Mus musculus isolate M3 mitochondrion, complete genome
HQ675026.1	Mus musculus	Mus musculus isolate M1 mitochondrion, complete genome
JF286601.1	Mus musculus	Mus musculus strain C57BL/6NCrl mitochondrion, complete genome
HQ877407.1	Mus musculus	Mus musculus ATCC:CCL-1.3 clone LMTK- mitochondrion, complete genome
HQ586004.1	Mus musculus	Mus musculus strain BN/aW mitochondrion, complete genome
FJ803909.1	Mus musculus	Mus musculus strain C3H/An clone B82 mitochondrion, complete genome
FJ374665.1	Mus musculus domesticus	Mus musculus domesticus strain YBR/EiJ mitochondrion, complete genome
FJ374664.1	Mus musculus domesticus	Mus musculus domesticus strain TALLYHO/JngJ mitochondrion, complete genome
FJ374663.1	Mus musculus domesticus	Mus musculus domesticus strain SWR/J mitochondrion, complete genome
FJ374662.1	Mus musculus domesticus	Mus musculus domesticus strain STR/ort mitochondrion, complete genome
FJ374661.1	Mus musculus domesticus	Mus musculus domesticus strain SOD1/EiJ mitochondrion, complete genome
FJ374660.1	Mus musculus domesticus	Mus musculus domesticus strain SM/J mitochondrion, complete genome
FJ374659.1	Mus musculus domesticus	Mus musculus domesticus strain SJL/J mitochondrion, complete genome
FJ374658.1	Mus musculus domesticus	Mus musculus domesticus strain SEA/GnJ mitochondrion, complete genome
FJ374657.1	Mus musculus domesticus	Mus musculus domesticus strain SB/LeJ mitochondrion, complete genome
FJ374656.1	Mus musculus domesticus	Mus musculus domesticus strain RIIIS/J mitochondrion, complete genome
FJ374655.1	Mus musculus domesticus	Mus musculus domesticus strain RF/J mitochondrion, complete genome
FJ374654.1	Mus musculus domesticus	Mus musculus domesticus strain PL/J mitochondrion, complete genome
FJ374653.1	Mus musculus domesticus	Mus musculus domesticus strain P/J mitochondrion, complete genome
