NC_026108.1	Saccharina latissima	Saccharina latissima strain ye-C14 mitochondrion, complete genome
NC_015669.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x latissima mitochondrion, complete genome
MK170141.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Rongfu2011 mitochondrion, complete genome
MK170140.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Rongfu2010 mitochondrion, complete genome
MK170139.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Rongfu2009 mitochondrion, complete genome
MG712780.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Xinbenniu mitochondrion, complete genome
MG712779.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Sanhai mitochondrion, complete genome
MG712781.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Shichang mitochondrion, complete genome
MF622087.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Pengza No2 mitochondrion, complete genome
KX073817.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Pingbancai mitochondrion, complete genome
KU556731.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x Saccharina latissima cultivar Ailunwan mitochondrion, complete genome
JF937591.1	Saccharina japonica x Saccharina latissima	Saccharina japonica x latissima mitochondrion, complete genome
KM675818.1	Saccharina latissima	Saccharina latissima strain ye-C14 mitochondrion, complete genome
