NC_016662.1	Apodemus chejuensis	Apodemus chejuensis mitochondrion, complete genome
NC_016428.1	Apodemus agrarius	Apodemus agrarius mitochondrion, complete genome
MN122887.1	Apodemus agrarius	Apodemus agrarius isolate DM1 mitochondrion, complete genome
KY851961.1	Apodemus agrarius	Apodemus agrarius isolate WG_1069 mitochondrion, complete genome
KY851960.1	Apodemus agrarius	Apodemus agrarius isolate WES_1074 mitochondrion, complete genome
KY851959.1	Apodemus agrarius	Apodemus agrarius isolate Ty_775 mitochondrion, complete genome
KY851958.1	Apodemus agrarius	Apodemus agrarius isolate Ty_773 mitochondrion, complete genome
KY851957.1	Apodemus agrarius	Apodemus agrarius isolate Ty_769 mitochondrion, complete genome
KY851956.1	Apodemus agrarius	Apodemus agrarius isolate Ty_483 mitochondrion, complete genome
KY851955.1	Apodemus agrarius	Apodemus agrarius isolate Ty_3065 mitochondrion, complete genome
KY851954.1	Apodemus agrarius	Apodemus agrarius isolate Ty_14Mbs mitochondrion, complete genome
KY851953.1	Apodemus agrarius	Apodemus agrarius isolate Ty_1 mitochondrion, complete genome
KY851952.1	Apodemus agrarius	Apodemus agrarius isolate LIE_188 mitochondrion, complete genome
KY851951.1	Apodemus agrarius	Apodemus agrarius isolate DIN_489 mitochondrion, complete genome
KY851950.1	Apodemus agrarius	Apodemus agrarius isolate DIN_487 mitochondrion, complete genome
KY851949.1	Apodemus agrarius	Apodemus agrarius isolate DIN_484 mitochondrion, complete genome
KY851948.1	Apodemus agrarius	Apodemus agrarius isolate DIN_479 mitochondrion, complete genome
KY851947.1	Apodemus agrarius	Apodemus agrarius isolate AME_1075 mitochondrion, complete genome
KY851946.1	Apodemus agrarius	Apodemus agrarius isolate Po_15 mitochondrion, complete genome
KY851945.1	Apodemus agrarius	Apodemus agrarius isolate Po_11 mitochondrion, complete genome
KY851944.1	Apodemus agrarius	Apodemus agrarius isolate Po_9 mitochondrion, complete genome
KY851943.1	Apodemus agrarius	Apodemus agrarius isolate Po_8 mitochondrion, complete genome
KY851942.1	Apodemus agrarius	Apodemus agrarius isolate Po_7 mitochondrion, complete genome
KY851941.1	Apodemus agrarius	Apodemus agrarius isolate Po_6 mitochondrion, complete genome
KY851940.1	Apodemus agrarius	Apodemus agrarius isolate Po_5 mitochondrion, complete genome
KY851939.1	Apodemus agrarius	Apodemus agrarius isolate Po_4 mitochondrion, complete genome
KY851938.1	Apodemus agrarius	Apodemus agrarius isolate Po_3 mitochondrion, complete genome
KY851937.1	Apodemus agrarius	Apodemus agrarius isolate Po_1 mitochondrion, complete genome
KY851936.1	Apodemus agrarius	Apodemus agrarius isolate Lo_70 mitochondrion, complete genome
KY851935.1	Apodemus agrarius	Apodemus agrarius isolate Lo_67 mitochondrion, complete genome
KY851934.1	Apodemus agrarius	Apodemus agrarius isolate Lo_64 mitochondrion, complete genome
KY851933.1	Apodemus agrarius	Apodemus agrarius isolate Lo_63 mitochondrion, complete genome
KY851932.1	Apodemus agrarius	Apodemus agrarius isolate Lo_61 mitochondrion, complete genome
KY851931.1	Apodemus agrarius	Apodemus agrarius isolate Lo_60 mitochondrion, complete genome
KY851930.1	Apodemus agrarius	Apodemus agrarius isolate Lo_58 mitochondrion, complete genome
KY851929.1	Apodemus agrarius	Apodemus agrarius isolate LO_55 mitochondrion, complete genome
KY851928.1	Apodemus agrarius	Apodemus agrarius isolate Lo_54 mitochondrion, complete genome
KY851927.1	Apodemus agrarius	Apodemus agrarius isolate Lo_53 mitochondrion, complete genome
KY851926.1	Apodemus agrarius	Apodemus agrarius isolate Lo_51 mitochondrion, complete genome
KY851925.1	Apodemus agrarius	Apodemus agrarius isolate Lo_50 mitochondrion, complete genome
KY851924.1	Apodemus agrarius	Apodemus agrarius isolate Lo_36 mitochondrion, complete genome
KY851923.1	Apodemus agrarius	Apodemus agrarius isolate Lo_35 mitochondrion, complete genome
KY851922.1	Apodemus agrarius	Apodemus agrarius isolate Lo_34 mitochondrion, complete genome
KY851921.1	Apodemus agrarius	Apodemus agrarius isolate Fi_49 mitochondrion, complete genome
KY851920.1	Apodemus agrarius	Apodemus agrarius isolate Fi_48 mitochondrion, complete genome
KY851919.1	Apodemus agrarius	Apodemus agrarius isolate Fi_43 mitochondrion, complete genome
KY851918.1	Apodemus agrarius	Apodemus agrarius isolate Fi_42 mitochondrion, complete genome
KY851917.1	Apodemus agrarius	Apodemus agrarius isolate Fi_41 mitochondrion, complete genome
KY851916.1	Apodemus agrarius	Apodemus agrarius isolate Fi_40 mitochondrion, complete genome
KY851915.1	Apodemus agrarius	Apodemus agrarius isolate Fi_33 mitochondrion, complete genome
KY851914.1	Apodemus agrarius	Apodemus agrarius isolate Fi_32 mitochondrion, complete genome
KY851913.1	Apodemus agrarius	Apodemus agrarius isolate Fi_31 mitochondrion, complete genome
KY851912.1	Apodemus agrarius	Apodemus agrarius isolate Fi_30 mitochondrion, complete genome
KY851911.1	Apodemus agrarius	Apodemus agrarius isolate Fi_29 mitochondrion, complete genome
KY851910.1	Apodemus agrarius	Apodemus agrarius isolate Fi_28 mitochondrion, complete genome
KY851909.1	Apodemus agrarius	Apodemus agrarius isolate Fi_26 mitochondrion, complete genome
KY851908.1	Apodemus agrarius	Apodemus agrarius isolate Fi_6 mitochondrion, complete genome
KY851907.1	Apodemus agrarius	Apodemus agrarius isolate Fi_4 mitochondrion, complete genome
KY851906.1	Apodemus agrarius	Apodemus agrarius isolate Fi_3 mitochondrion, complete genome
KY851905.1	Apodemus agrarius	Apodemus agrarius isolate Fi_2 mitochondrion, complete genome
KY851904.1	Apodemus agrarius	Apodemus agrarius isolate Fa_80 mitochondrion, complete genome
KY851903.1	Apodemus agrarius	Apodemus agrarius isolate Fa_14 mitochondrion, complete genome
KY851902.1	Apodemus agrarius	Apodemus agrarius isolate Fa_12 mitochondrion, complete genome
KY851901.1	Apodemus agrarius	Apodemus agrarius isolate Fa_10 mitochondrion, complete genome
KY851900.1	Apodemus agrarius	Apodemus agrarius isolate Fa_7 mitochondrion, complete genome
KY851899.1	Apodemus agrarius	Apodemus agrarius isolate Fa_B5 mitochondrion, complete genome
KY851898.1	Apodemus agrarius	Apodemus agrarius isolate Fa_4 mitochondrion, complete genome
KY851897.1	Apodemus agrarius	Apodemus agrarius isolate Fa_3 mitochondrion, complete genome
KY851896.1	Apodemus agrarius	Apodemus agrarius isolate Fa_2 mitochondrion, complete genome
KY851895.1	Apodemus agrarius	Apodemus agrarius isolate Fa_1 mitochondrion, complete genome
KY851894.1	Apodemus agrarius	Apodemus agrarius isolate EST_3 mitochondrion, complete genome
KY851893.1	Apodemus agrarius	Apodemus agrarius isolate EST_2 mitochondrion, complete genome
KY851892.1	Apodemus agrarius	Apodemus agrarius isolate EST_1 mitochondrion, complete genome
JN629047.1	Apodemus agrarius	Apodemus agrarius mitochondrion, complete genome
HM034867.1	Apodemus chejuensis	Apodemus chejuensis mitochondrion, complete genome
HM034866.1	Apodemus agrarius	Apodemus agrarius mitochondrion, complete genome
