NC_007886.1	Oryza sativa Indica Group	Oryza sativa Indica Group mitochondrion, complete genome
OP740914.1	Oryza sativa Indica Group	Oryza sativa Indica Group cultivar Pin Gaew 56 mitochondrion, complete genome
OX262159.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262158.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262157.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262156.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262155.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262154.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262153.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262152.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262151.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
OX262150.1	Oryza sativa Indica Group	Oryza sativa Indica Group genome assembly, organelle: mitochondrion
LC654237.1	Oryza sativa Indica Group	Oryza sativa Indica Group Tadukan mitochondrial DNA, complete genome
LC595639.1	Oryza sativa Indica Group	Oryza sativa Indica Group Tadukan mitochondrial DNA, subgenome-1, complete sequence
LC592699.1	Oryza sativa Indica Group	Oryza sativa Indica Group cv. Tadukan mitochondrial plasmid-like B4 like DNA orf84 gene for hypothetical protein, complete cds
LC592698.1	Oryza sativa Indica Group	Oryza sativa Indica Group cv. Tadukan mitochondrial plasmid-like B2 like DNA orf138 gene for hypothetical protein, complete cds
LC592697.1	Oryza sativa Indica Group	Oryza sativa Indica Group cv. Tadukan mitochondrial plasmid-like B1 like DNA orf95, orf80 genes for hypothetical proteins, complete cds
LC592696.1	Oryza sativa Indica Group	Oryza sativa Indica Group cv. Tadukan mitochondrial subgenome-2 orf312, orf115 genes for hypothetical proteins, complete cds
MW691120.1	Oryza sativa Indica Group	Oryza sativa Indica Group strain Tetep-CMS cultivar HopumA mitochondrion, complete genome
KY486275.1	Oryza sativa Indica Group	Oryza sativa Indica Group strain Chinese Dongxiang wild rice cultivar DPA mitochondrion, complete genome
CP018169.1	Oryza sativa Indica Group	Oryza sativa Indica Group cultivar Shuhui498 mitochondrion, complete genome
AP017386.1	Oryza sativa Indica Group	Oryza sativa Indica Group mitochondrial subgenome-2 DNA, complete sequence, strain: BT-CMS
AP017385.1	Oryza sativa Indica Group	Oryza sativa Indica Group mitochondrial subgenome-1 DNA, complete sequence, strain: BT-CMS
DQ167399.1	Oryza sativa Indica Group	Oryza sativa (indica cultivar-group) isolate 93-11 mitochondrion, complete genome
JN861112.1	Oryza sativa Indica Group	Oryza sativa Indica Group mitochondrion, complete genome
JN861111.1	Oryza sativa Indica Group	Oryza sativa Indica Group cultivar Hassawi mitochondrion, complete genome
JF281154.1	Oryza sativa Indica Group	Oryza sativa Indica Group strain WA-CMS mitochondrion, complete genome
JF281153.1	Oryza sativa Indica Group	Oryza sativa Indica Group mitochondrion, complete genome
AP011077.1	Oryza sativa Indica Group	Oryza sativa Indica Group mitochondrial DNA, complete genome, cultivar: Lead rice
