NC_053367.1	Epinephelus fuscoguttatus x Epinephelus polyphekadion	Epinephelus fuscoguttatus x Epinephelus polyphekadion mitochondrion, complete genome
NC_042416.1	Epinephelus fuscoguttatus x Epinephelus tukula	Epinephelus fuscoguttatus x Epinephelus tukula mitochondrion, complete genome
NC_028055.1	Epinephelus fuscoguttatus x Epinephelus lanceolatus	Epinephelus fuscoguttatus x Epinephelus lanceolatus mitochondrion, complete genome
NC_020046.1	Epinephelus fuscoguttatus	Epinephelus fuscoguttatus mitochondrion, complete genome
OP980558.1	Epinephelus fuscoguttatus	Epinephelus fuscoguttatus mitochondrion, complete genome
OP980556.1	Epinephelus fuscoguttatus x Epinephelus polyphekadion	Epinephelus fuscoguttatus x Epinephelus polyphekadion mitochondrion, complete genome
MT709279.1	Epinephelus fuscoguttatus x Epinephelus polyphekadion	Epinephelus fuscoguttatus x Epinephelus polyphekadion mitochondrion, complete genome
MK791189.1	Epinephelus fuscoguttatus	Epinephelus fuscoguttatus mitochondrion, complete genome
MK408449.1	Epinephelus fuscoguttatus x Epinephelus tukula	Epinephelus fuscoguttatus x Epinephelus tukula mitochondrion, complete genome
KX575835.1	Epinephelus fuscoguttatus x Epinephelus lanceolatus	Epinephelus fuscoguttatus x Epinephelus lanceolatus mitochondrion, complete genome
KM605254.1	Epinephelus fuscoguttatus x Epinephelus lanceolatus	Epinephelus fuscoguttatus x Epinephelus lanceolatus mitochondrion, complete genome
KP013758.1	Epinephelus fuscoguttatus	Epinephelus fuscoguttatus mitochondrion, complete genome
JX119192.1	Epinephelus fuscoguttatus	Epinephelus fuscoguttatus mitochondrion, complete genome
