NC_012119.1	Vitis vinifera	Vitis vinifera mitochondrion, complete genome
NC_008285.1	Brassica napus	Brassica napus mitochondrion, complete genome
MZ540940.1	Brassica napus	Brassica napus isolate ZY21A-1 mitochondrion, complete genome
MZ540939.1	Brassica napus	Brassica napus isolate ZY21-1 mitochondrion, complete genome
MZ540938.1	Brassica napus	Brassica napus isolate L0933A mitochondrion, complete genome
MZ540937.1	Brassica napus	Brassica napus isolate 0933B mitochondrion, complete genome
MZ540936.1	Brassica napus	Brassica napus isolate 0933A mitochondrion, complete genome
MZ540935.1	Brassica napus	Brassica napus isolate Z1732 mitochondrion, complete genome
MZ540934.1	Brassica napus	Brassica napus isolate 20-2386 mitochondrion, complete genome
MZ540933.1	Brassica napus	Brassica napus isolate Y3380 mitochondrion, complete genome
MZ540932.1	Brassica napus	Brassica napus isolate Y3560 mitochondrion, complete genome
MZ540931.1	Brassica napus	Brassica napus isolate ZY26A-1 mitochondrion, complete genome
MW348924.1	Brassica napus	Brassica napus cultivar 088018 mitochondrion, complete genome
MW001149.1	Brassica napus	Brassica napus cultivar NY18 mitochondrion, complete genome
CM017530.1	Mamestra configurata	Mamestra configurata isolate AAFC colony mitochondrion, complete sequence, whole genome shotgun sequence
NDFZ01086780.1	Mamestra configurata	Mamestra configurata isolate AAFC colony MamCon_mito1.0 mitochondrial, whole genome shotgun sequence
AP018475.1	Brassica napus	Brassica napus mitochondrial subgenome3 DNA, complete genome
AP018474.1	Brassica napus	Brassica napus mitochondrial subgenome2 DNA, complete genome
AP018473.1	Brassica napus	Brassica napus mitochondrial subgenome1 DNA, complete genome
AP018472.1	Raphanus sativus	Raphanus sativus mitochondrial DNA, complete genome, cultivar: Kosena
U10428.1	Brassica napus	Brassica napus unknown protein gene, mitochondrial gene encoding mitochondrial protein, complete cds
KP161618.1	Brassica napus	Brassica napus strain 51218 mitochondrion, complete genome
KM454975.1	Brassica napus	Brassica napus strain 56366 mitochondrion, complete genome
KM454974.1	Brassica napus	Brassica napus strain DH366 mitochondrion, complete genome
KC189947.1	Vicia faba	Vicia faba mitochondrion, complete genome
AB569606.1	Brassica napus	Brassica napus mitochondrial genes for tRNA-fMet, cytoplasmic male sterility-related protein ORF125, hypothetical protein ORF108, complete cds, strain: cybrid 18-3
FM179380.1	Vitis vinifera	Vitis vinifera complete mitochondrial genome, cultivar Pinot noir clone ENTAV115
AP006444.1	Brassica napus	Brassica napus mitochondrial DNA, complete genome
