NC_008068.1	Metarhizium anisopliae	Metarhizium anisopliae mitochondrion, complete genome
AY884128.1	Metarhizium anisopliae	Metarhizium anisopliae strain ME1 mitochondrion, complete genome
DQ243889.1	Metarhizium anisopliae	Metarhizium anisopliae strain KVL 275 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243888.1	Metarhizium anisopliae	Metarhizium anisopliae strain KVL 97125 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243887.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMBST 9609 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243886.1	Metarhizium anisopliae	Metarhizium anisopliae strain V208 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243885.1	Metarhizium album	Metarhizium album strain ARSEF 2081 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243884.1	Metarhizium flavoviride	Metarhizium flavoviride strain ARSEF 2025 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243883.1	Metarhizium flavoviride	Metarhizium flavoviride strain ARSEF 1184 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243882.1	Metarhizium acridum	Metarhizium acridum strain Ma-48 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243881.1	Metarhizium majus	Metarhizium majus strain ARSEF 1092 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243880.1	Metarhizium anisopliae	Metarhizium anisopliae strain IIBC I90574 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243879.1	Metarhizium anisopliae	Metarhizium anisopliae strain ARSEF 442 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243878.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMI 298059 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243877.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMI 152222 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243876.1	Metarhizium anisopliae	Metarhizium anisopliae strain ARSEF 438 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243875.1	Metarhizium anisopliae	Metarhizium anisopliae strain 1046 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243874.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMBST 9601 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243873.1	Metarhizium anisopliae	Metarhizium anisopliae strain Italy-12 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243872.1	Metarhizium anisopliae	Metarhizium anisopliae strain 1015 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243871.1	Metarhizium sp. ARSEF 2210	Metarhizium sp. ARSEF 2210 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243870.1	Metarhizium anisopliae	Metarhizium anisopliae strain ARSEF 703 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243869.1	Metarhizium majus	Metarhizium majus strain ARSEF 1914 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243868.1	Metarhizium anisopliae	Metarhizium anisopliae strain ATHUM 2920 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243867.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMI 298061 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243866.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMI 299981 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243865.1	Metarhizium majus	Metarhizium majus strain ARSEF 988 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243864.1	Metarhizium anisopliae	Metarhizium anisopliae strain V219 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243863.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMI 299984 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243862.1	Metarhizium anisopliae	Metarhizium anisopliae strain V245 NADH dehydrogenase subunit 3 (nad3) and ATP synthase F0 subunit 9 (atp9) genes, partial cds; mitochondrial
DQ243861.1	Metarhizium acridum	Metarhizium acridum strain Ma-48 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 (nad4) genes, partial cds; mitochondrial
DQ243860.1	Metarhizium flavoviride	Metarhizium flavoviride strain ARSEF 2025 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243859.1	Metarhizium flavoviride	Metarhizium flavoviride strain ARSEF 1184 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243858.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMI 298061 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 (nad4) genes, partial cds; mitochondrial
DQ243857.1	Metarhizium anisopliae	Metarhizium anisopliae strain V208 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243856.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMBST 9609 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243855.1	Metarhizium majus	Metarhizium majus strain ARSEF 1092 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243854.1	Metarhizium majus	Metarhizium majus strain ARSEF 1914 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243853.1	Metarhizium anisopliae	Metarhizium anisopliae strain KVL 97125 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243852.1	Metarhizium anisopliae	Metarhizium anisopliae strain IMBST 9601 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243851.1	Metarhizium anisopliae	Metarhizium anisopliae strain KVL 275 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
DQ243850.1	Metarhizium album	Metarhizium album strain ARSEF 2081 NADH dehydrogenase subunit 1 (nad1) and NADH dehydrogenase subunit 4 genes, partial cds; mitochondrial
