NC_023832.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
MZ962672.1	Anser cygnoides	Anser cygnoides isolate WWG mitochondrion, complete genome
MZ955453.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
MZ427898.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
MK102803.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
MK133022.1	Anser cygnoides	Anser cygnoides breed Sichuan white goose mitochondrion, complete genome
KY767671.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
KT427463.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
KU211647.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
KP881611.1	Anser cygnoides	Anser cygnoides breed Youjiang mitochondrion, complete genome
KP943133.1	Anser cygnoides	Anser cygnoides breed Hepu mitochondrion, complete genome
KP026178.1	Anser cygnoides	Anser cygnoides breed Wugangtong mitochondrion, complete genome
KP238480.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
KJ794189.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
KJ794188.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
KJ778677.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
KJ124555.1	Anser cygnoides	Anser cygnoides mitochondrion, complete genome
