NC_008449.1	Plectropomus leopardus	Plectropomus leopardus mitochondrion, complete genome
DQ101270.1	Plectropomus leopardus	Plectropomus leopardus mitochondrion, complete genome
KJ101556.1	Plectropomus leopardus	Plectropomus leopardus mitochondrion, complete genome
KJ101555.1	Plectropomus leopardus	Plectropomus leopardus mitochondrion, complete genome
JQ420074.1	Plectropomus leopardus	Plectropomus leopardus isolate leo_red mitochondrion, complete genome
JQ420073.1	Plectropomus leopardus	Plectropomus leopardus isolate leo_blue mitochondrion, complete genome
EU234608.1	Plectropomus maculatus	Plectropomus maculatus isolate PML06 D-loop, partial sequence; mitochondrial
EU234607.1	Plectropomus maculatus	Plectropomus maculatus isolate PML05 D-loop, partial sequence; mitochondrial
EU234606.1	Plectropomus maculatus	Plectropomus maculatus isolate PML04 D-loop, partial sequence; mitochondrial
EU234605.1	Plectropomus maculatus	Plectropomus maculatus isolate PML03 D-loop, partial sequence; mitochondrial
EU234604.1	Plectropomus maculatus	Plectropomus maculatus isolate PM32 D-loop, partial sequence; mitochondrial
EU234603.1	Plectropomus maculatus	Plectropomus maculatus isolate PM31 D-loop, partial sequence; mitochondrial
EU234602.1	Plectropomus maculatus	Plectropomus maculatus isolate PM30 D-loop, partial sequence; mitochondrial
EU234601.1	Plectropomus maculatus	Plectropomus maculatus isolate PM27 D-loop, partial sequence; mitochondrial
EU234600.1	Plectropomus leopardus	Plectropomus leopardus isolate PL25 D-loop, partial sequence; mitochondrial
EU234599.1	Plectropomus maculatus	Plectropomus maculatus isolate PM16 D-loop, partial sequence; mitochondrial
EU234598.1	Plectropomus maculatus	Plectropomus maculatus isolate PM15 D-loop, partial sequence; mitochondrial
EU234597.1	Plectropomus leopardus	Plectropomus leopardus isolate PL13 D-loop, partial sequence; mitochondrial
EU234596.1	Plectropomus maculatus	Plectropomus maculatus isolate PM11 D-loop, partial sequence; mitochondrial
EU234595.1	Plectropomus maculatus	Plectropomus maculatus isolate PM10 D-loop, partial sequence; mitochondrial
EU234594.1	Plectropomus leopardus	Plectropomus leopardus isolate PL9 D-loop, partial sequence; mitochondrial
EU234593.1	Plectropomus leopardus	Plectropomus leopardus isolate PL3 D-loop, partial sequence; mitochondrial
