OQ354213.1	Anisakis simplex	Anisakis simplex mitochondrion, complete genome
NC_034329.1	Anisakis pegreffii	Anisakis pegreffii mitochondrion, complete genome
NC_026023.1	Anisakis berlandi	Anisakis simplex C Nascetti et al., 1986 isolate 2c mitochondrion, complete genome
NC_024037.1	Contracaecum osculatum	Contracaecum osculatum mitochondrion, complete genome
NC_007934.1	Anisakis simplex	Anisakis simplex mitochondrion, complete genome
MK820679.1	Anisakis simplex	Anisakis simplex mitochondrion, complete genome
AP017678.1	Anisakis simplex	Anisakis simplex mitochondrial DNA, complete genome
LC222461.1	Anisakis pegreffii	Anisakis pegreffii mitochondrial DNA, complete genome
AY994157.1	Anisakis simplex	Anisakis simplex mitochondrion, complete genome
KU899549.1	Anisakis simplex	Anisakis simplex mitochondrion, complete genome
JN786328.1	Anisakis simplex	Anisakis simplex isolate J4 mitochondrion, complete genome
JN786327.1	Anisakis simplex	Anisakis simplex isolate J3 mitochondrion, complete genome
JN786326.1	Anisakis simplex	Anisakis simplex isolate S7 mitochondrion, complete genome
JN786325.1	Anisakis simplex	Anisakis simplex isolate S6 mitochondrion, complete genome
JN786324.1	Anisakis simplex	Anisakis simplex isolate S8 mitochondrion, complete genome
JN786323.1	Anisakis simplex	Anisakis simplex isolate J1 mitochondrion, complete genome
JN786322.1	Anisakis simplex	Anisakis simplex isolate 5_4 mitochondrion, complete genome
JN786321.1	Anisakis simplex	Anisakis simplex isolate BA60 mitochondrion, complete genome
JN786320.1	Anisakis simplex	Anisakis simplex isolate BA65 mitochondrion, complete genome
JN786319.1	Anisakis simplex	Anisakis simplex isolate BA70 mitochondrion, complete genome
JN786318.1	Anisakis simplex	Anisakis simplex isolate 126r mitochondrion, complete genome
JN786317.1	Anisakis simplex	Anisakis simplex isolate Tb1 mitochondrion, complete genome
JN786316.1	Anisakis berlandi	Anisakis simplex C Nascetti et al., 1986 isolate 2c mitochondrion, complete genome
KC965057.1	Contracaecum osculatum	Contracaecum osculatum mitochondrion, complete genome
KC965056.1	Anisakis simplex	Anisakis simplex mitochondrion, complete genome
FJ905109.1	Contracaecum rudolphii B Bullini et al., 1986	Contracaecum rudolphii B Bullini et al., 1986 mitochondrion, complete genome
