NC_036665.1	Tachysurus fulvidraco x Leiocassis longirostris	Tachysurus fulvidraco x Leiocassis longirostris mitochondrion, complete genome
NC_030628.1	Leiocassis longirostris x Tachysurus fulvidraco	Leiocassis longirostris x Tachysurus fulvidraco mitochondrion, complete genome
NC_026544.1	Tachysurus fulvidraco x Tachysurus vachelli	Tachysurus fulvidraco x Tachysurus vachelli mitochondrion, complete genome
NC_015888.1	Tachysurus fulvidraco	Tachysurus fulvidraco mitochondrion, complete genome
MZ343379.1	Tachysurus ussuriensis x Tachysurus fulvidraco	Tachysurus ussuriensis x Tachysurus fulvidraco mitochondrion, complete genome
CM042745.1	Tachysurus fulvidraco	Tachysurus fulvidraco isolate hzauyy_2020 mitochondrion, complete sequence, whole genome shotgun sequence
CM040273.1	Tachysurus fulvidraco	Tachysurus fulvidraco isolate hzauxx_2018 mitochondrion, complete sequence, whole genome shotgun sequence
MW401636.1	Tachysurus fulvidraco	Tachysurus fulvidraco voucher NCNU-TYW-TF01 mitochondrion, complete genome
MT876426.1	Tachysurus fulvidraco	Tachysurus fulvidraco voucher NFRDI-FI-TS-0054112 mitochondrion, complete genome
MN365880.1	Tachysurus fulvidraco x Tachysurus vachelli	Tachysurus fulvidraco x Tachysurus vachelli mitochondrion, complete genome
MK104136.1	Tachysurus fulvidraco	Tachysurus fulvidraco isolate female2 mitochondrion, complete genome
MK104135.1	Tachysurus fulvidraco	Tachysurus fulvidraco isolate male mitochondrion, complete genome
MK104134.1	Tachysurus fulvidraco	Tachysurus fulvidraco isolate female1 mitochondrion, complete genome
MH192350.1	Tachysurus fulvidraco	Tachysurus fulvidraco mitochondrion, complete genome
KU133295.1	Tachysurus fulvidraco x Leiocassis longirostris	Tachysurus fulvidraco x Leiocassis longirostris mitochondrion, complete genome
MF583740.1	Tachysurus fulvidraco x Leiocassis longirostris	Tachysurus fulvidraco x Leiocassis longirostris mitochondrion, complete genome
KU133294.1	Leiocassis longirostris x Tachysurus fulvidraco	Leiocassis longirostris x Tachysurus fulvidraco mitochondrion, complete genome
KP247598.1	Tachysurus fulvidraco x Tachysurus vachelli	Tachysurus fulvidraco x Tachysurus vachelli mitochondrion, complete genome
KC287172.1	Tachysurus fulvidraco	Tachysurus fulvidraco voucher ECSFRI-PF01 mitochondrion, complete genome
HM641815.1	Tachysurus fulvidraco	Pelteobagrus fulvidraco mitochondrion, complete genome
