NC_065096.1	Pangasius mekongensis	Pangasius mekongensis isolate PNST mitochondrion, complete genome
NC_065097.1	Pangasius krempfi	Pangasius krempfi isolate VNAG mitochondrion, complete genome
NC_021752.1	Pangasianodon hypophthalmus	Pangasianodon hypophthalmus mitochondrion, complete genome
CM050177.1	Pangasianodon hypophthalmus	Pangasianodon hypophthalmus isolate fPanHyp1 mitochondrion, complete sequence, whole genome shotgun sequence
MZ272453.1	Pangasius krempfi	Pangasius krempfi isolate VNAG mitochondrion, complete genome
MZ272452.1	Pangasianodon hypophthalmus	Pangasianodon hypophthalmus isolate CTIBT mitochondrion, complete genome
MZ272451.1	Pangasius mekongensis	Pangasius mekongensis isolate PNST mitochondrion, complete genome
MZ286355.1	Pangasianodon hypophthalmus	Pangasianodon hypophthalmus mitochondrion, complete genome
CM018571.1	Pangasianodon hypophthalmus	Pangasianodon hypophthalmus strain Indonesia mitochondrion, complete sequence, whole genome shotgun sequence
VFJC01000001.1	Pangasianodon hypophthalmus	Pangasianodon hypophthalmus strain Indonesia PHYPO_mitochondrion, whole genome shotgun sequence
CM010854.1	Pangasianodon hypophthalmus	Pangasianodon hypophthalmus isolate VN_RIA2_2014 mitochondrion, complete sequence, whole genome shotgun sequence
KC846907.1	Pangasianodon hypophthalmus	Pangasianodon hypophthalmus mitochondrion, complete genome
