OR030114.1	Pleurotus ostreatus	Pleurotus ostreatus mitochondrion, complete genome
CM057219.1	Pleurotus ostreatus	Pleurotus ostreatus strain PC9.15 mitochondrion, complete sequence, whole genome shotgun sequence
JAQZRA010000013.1	Pleurotus ostreatus	Pleurotus ostreatus strain PC9.15 scaffold_13 mitochondrial, whole genome shotgun sequence
NC_018365.1	Lentinula edodes	Lentinula edodes mitochondrion, complete genome
NC_009905.1	Pleurotus ostreatus	Pleurotus ostreatus mitochondrion, complete genome
NC_005927.1	Moniliophthora perniciosa	Moniliophthora perniciosa mitochondrion, complete genome
NC_003049.1	Schizophyllum commune	Schizophyllum commune mitochondrion, complete genome
EU200449.1	Pleurotus ostreatus	Pleurotus ostreatus plasmid DNA polymerase gene, complete cds; mitochondrial
EU200448.1	Pleurotus ostreatus	Pleurotus ostreatus plasmid RNA polymerase gene, complete cds; mitochondrial
AY376688.1	Moniliophthora perniciosa	Crinipellis perniciosa mitochondrion, complete genome
AF402141.1	Schizophyllum commune	Schizophyllum commune mitochondrial DNA, complete genome
EF204913.1	Pleurotus ostreatus	Pleurotus ostreatus mitochondrion, complete genome
AB697988.1	Lentinula edodes	Lentinula edodes mitochondrial DNA, complete sequence, strain: akiyamaA567_pro_pm_17
