CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
NC_072952.1	Rhipicephalus rutilus	Rhipicephalus rutilus isolate IZ12-T3:JS6028 haplogroup southeastern Europe mitochondrion, complete genome
NC_062630.1	Ixodes cornuatus	Ixodes cornuatus voucher B5603 mitochondrion, complete genome
NC_060320.1	Pneumocystis canis	Pneumocystis canis mitochondrion, complete sequence
NC_002008.4	Canis lupus familiaris	Canis lupus familiaris mitochondrion, complete genome
OQ184024.1	Rhipicephalus sanguineus	Rhipicephalus sanguineus isolate P8/22-208:JS6373 haplogroup temperate mitochondrion, complete genome
OQ184022.1	Rhipicephalus rutilus	Rhipicephalus rutilus isolate IZ12-T3:JS6028 haplogroup southeastern Europe mitochondrion, complete genome
OP716784.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10109 mitochondrion, complete genome
OP716780.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10104 mitochondrion, complete genome
OP716778.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10102 mitochondrion, complete genome
OP716777.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10100 mitochondrion, complete genome
OM994391.1	Rhipicephalus linnaei	Rhipicephalus linnaei isolate P1/22:20-2 mitochondrion, complete genome
OM994390.1	Rhipicephalus linnaei	Rhipicephalus linnaei isolate P1/22:20-1 mitochondrion, complete genome
OM994389.1	Rhipicephalus linnaei	Rhipicephalus linnaei isolate P1/22:17-1 mitochondrion, complete genome
OM994388.1	Rhipicephalus linnaei	Rhipicephalus linnaei isolate P1/22:6-1 mitochondrion, complete genome
OL614958.1	Ixodes cornuatus	Ixodes cornuatus voucher B5603 mitochondrion, complete genome
OK523384.1	Dipylidium caninum	Dipylidium caninum isolate Dcan_canine_FL1 mitochondrion, complete genome
MW916083.1	Canis lupus familiaris	Canis lupus familiaris isolate LYEP53 mitochondrion, complete genome
MW916082.1	Canis lupus familiaris	Canis lupus familiaris isolate LYEP51 mitochondrion, partial genome
MW916081.1	Canis lupus familiaris	Canis lupus familiaris isolate LYEP11 mitochondrion, complete genome
MW916080.1	Canis lupus familiaris	Canis lupus familiaris isolate LYEP9 mitochondrion, complete genome
