NC_016738.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: Y
NC_013837.1	Chattonella marina	Chattonella marina strain KA11-m-1 mitochondrion, complete genome
LC229078.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: Haek95051
LC229077.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: EHUSP1
LC229076.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: CCMP1870
LC385025.1	Heterosigma akashiwo	Heterosigma akashiwo CCMP934-8 mitochondrial MtORFvar1 gene for MtORFvar ortholog, complete cds
LC385024.1	Heterosigma akashiwo	Heterosigma akashiwo CCMP2393 mitochondrial MtORFvar1 gene for MtORFvar ortholog, complete cds
LC385023.1	Heterosigma akashiwo	Heterosigma akashiwo CAW09 mitochondrial MtORFvar1 gene for MtORFvar ortholog, complete cds
LC385022.1	Heterosigma akashiwo	Heterosigma akashiwo CAW08 mitochondrial MtORFvar1 gene for MtORFvar ortholog, complete cds
LC385021.1	Heterosigma akashiwo	Heterosigma akashiwo CAW06 mitochondrial MtORFvar1 gene for MtORFvar ortholog, complete cds
LC385020.1	Heterosigma akashiwo	Heterosigma akashiwo CAW05 mitochondrial MtORFvar1 gene for MtORFvar ortholog, complete cds
LC384966.1	Heterosigma akashiwo	Heterosigma akashiwo RCC1502 mitochondrial DNA, complete genome
LC384965.1	Heterosigma akashiwo	Heterosigma akashiwo CAW05 mitochondrial DNA, complete genome
LC384964.1	Heterosigma akashiwo	Heterosigma akashiwo BrRJ5 mitochondrial DNA, complete genome
LC384963.1	Heterosigma akashiwo	Heterosigma akashiwo BrRJ1 mitochondrial DNA, complete genome
LC384962.1	Heterosigma akashiwo	Heterosigma akashiwo Haek9806-2 mitochondrial DNA, complete genome
LC384961.1	Heterosigma akashiwo	Heterosigma akashiwo HaGS95 mitochondrial DNA, complete genome
LC384960.1	Heterosigma akashiwo	Heterosigma akashiwo CCMP1596 mitochondrial DNA, complete genome
LC384959.1	Heterosigma akashiwo	Heterosigma akashiwo CCMP1595 mitochondrial DNA, complete genome
LC384958.1	Heterosigma akashiwo	Heterosigma akashiwo CCAP934-7 mitochondrial DNA, complete genome
LC384957.1	Heterosigma akashiwo	Heterosigma akashiwo CCAP934-3 mitochondrial DNA, complete genome
LC228566.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: CCAP934-4
LC228565.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: CCAP934-9
LC228564.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: CCAP934-8
LC228563.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: Haek9806-1
LC228562.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: HaFk01
LC228561.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: CCMP3374
LC228560.1	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: CCMP2270
KU561550.1	Heterosigma akashiwo	Heterosigma akashiwo strain HaTj01 isolate HaTj01_1 mitochondrion, complete genome
KU561548.1	Heterosigma akashiwo	Heterosigma akashiwo strain Ha00_17 isolate Ha00_17_1 mitochondrion, complete genome
KU561547.1	Heterosigma akashiwo	Heterosigma akashiwo strain H93616 isolate H93616_1 mitochondrion, complete genome
KU726247.1	Heterosigma akashiwo	Heterosigma akashiwo isolate NEPCC522 mitochondrion, complete genome
GQ222228.1	Heterosigma akashiwo	Heterosigma akashiwo isolate CCMP452 mitochondrion, complete genome
GQ222227.1	Heterosigma akashiwo	Heterosigma akashiwo isolate NIES293 mitochondrion, complete genome
AB546636.1	Chattonella marina	Chattonella marina mitochondrial DNA, complete genome, strain: KA11-m-1
AB546637.2	Heterosigma akashiwo	Heterosigma akashiwo mitochondrial DNA, complete genome, strain: Y
