OR002149.1	Catostomus commersonii	Catostomus commersonii mitochondrion, complete genome
NC_008647.1	Catostomus commersonii	Catostomus commersonii mitochondrion, complete genome
OM736859.1	Catostomus commersonii	Catostomus commersonii voucher NEFC_F18-103 mitochondrion, complete genome
OM736822.1	Catostomus commersonii	Catostomus commersonii voucher NEFC_F19-407 mitochondrion, complete genome
OM736812.1	Catostomus commersonii	Catostomus commersonii voucher NEFC_F19-449 mitochondrion, complete genome
MH324427.1	Catostomus commersonii	Catostomus commersonii voucher NEFC F16-125 mitochondrion, complete genome
MH324426.1	Catostomus commersonii	Catostomus commersonii voucher NEFC F16-124 mitochondrion, complete genome
MG570424.1	Catostomus commersonii	Catostomus commersonii isolate NEFC F16-032 mitochondrion, complete genome
MG570423.1	Catostomus commersonii	Catostomus commersonii isolate NEFC F16-031 mitochondrion, complete genome
KP013114.1	Catostomus commersonii	Catostomus commersonii voucher LodgeLab Ccommersonii_1 mitochondrion, complete genome
AB127394.1	Catostomus commersonii	Catostomus commersonii mitochondrial DNA, complete genome
