NC_036008.1	Culex camposi	Culex camposi isolate MS04_38 mitochondrion, complete genome
NC_036007.1	Culex usquatissimus	Culex usquatissimus isolate RO25_19 mitochondrion, complete genome
NC_036006.1	Culex coronator	Culex coronator isolate RS10_109 mitochondrion, complete genome
NC_036005.1	Culex usquatus	Culex usquatus isolate SP29_156 mitochondrion, complete genome
MF509895.1	Culex coronator	Culex coronator isolate JU-14-30 mitochondrion, complete genome
MF509894.1	Culex usquatissimus	Culex usquatissimus isolate JU-14-12 mitochondrion, complete genome
MF509893.1	Culex usquatissimus	Culex usquatissimus isolate JU-14-05 mitochondrion, complete genome
MF509892.1	Culex usquatissimus	Culex usquatissimus isolate JU-14-04 mitochondrion, complete genome
MF509891.1	Culex usquatissimus	Culex usquatissimus isolate JU-14-01 mitochondrion, complete genome
MF509890.1	Culex coronator	Culex coronator isolate ss_MIS-14-07 mitochondrion, complete genome
MF509889.1	Culex coronator	Culex coronator isolate ss_MIS-14-04 mitochondrion, complete genome
MF509888.1	Culex coronator	Culex coronator isolate ss_MIS-14-01 mitochondrion, complete genome
MF509887.1	Culex coronator	Culex coronator isolate _MIS-14-23 mitochondrion, complete genome
MF381691.1	Culex coronator	Culex coronator clone RS10_101 mitochondrion, complete genome
MF040165.1	Culex usquatissimus	Culex usquatissimus isolate AC16_101 mitochondrion, complete genome
MF040164.1	Culex camposi	Culex camposi isolate MS04_38 mitochondrion, complete genome
MF040163.1	Culex usquatissimus	Culex usquatissimus isolate RO25_19 mitochondrion, complete genome
MF040162.1	Culex coronator	Culex coronator isolate RS10_109 mitochondrion, complete genome
MF040161.1	Culex usquatus	Culex usquatus isolate SP29_156 mitochondrion, complete genome
