ON652849.1	Panthera pardus kotiya	Panthera pardus kotiya voucher DWC PPK-B mitochondrion, complete genome
ON652848.1	Panthera pardus kotiya	Panthera pardus kotiya voucher DWC PPK-R mitochondrion, complete genome
NC_010641.1	Panthera pardus	Panthera pardus mitochondrion, complete genome
MK043027.1	Panthera pardus	Panthera pardus voucher cgrb15208 mitochondrion, complete genome
MG932393.1	Panthera pardus	Panthera pardus mitochondrion, complete genome
KX655614.1	Panthera pardus orientalis	Panthera pardus orientalis mitochondrion, complete genome
KP001507.1	Panthera pardus	Panthera pardus isolate 179_Leopard mitochondrion, complete genome
KP202265.1	Panthera pardus	Panthera pardus isolate PPA mitochondrion, complete genome
KJ866876.1	Panthera pardus japonensis	Panthera pardus japonensis mitochondrion, complete genome
EF551002.1	Panthera pardus	Panthera pardus mitochondrion, complete genome
