MN972460.1	Gallus gallus	Gallus gallus breed Huangshan black chicken mitochondrion, complete genome
MN972461.1	Gallus gallus	Gallus gallus breed Five black chicken mitochondrion, complete genome
MN989997.1	Gallus gallus	Gallus gallus breed Wannan Yellow chicken mitochondrion, complete genome
OP740918.1	Gallus gallus	Gallus gallus isolate MD01 mitochondrion, complete genome
OP740917.1	Gallus gallus	Gallus gallus isolate KN01 mitochondrion, complete genome
OP740916.1	Gallus gallus	Gallus gallus isolate LX01 mitochondrion, complete genome
OP740915.1	Gallus gallus	Gallus gallus isolate LS01 mitochondrion, complete genome
OQ629493.1	Gallus gallus	Gallus gallus breed Brahma mitochondrion, complete genome
OQ629492.1	Gallus gallus	Gallus gallus breed Brahma mitochondrion, complete genome
OQ629491.1	Gallus gallus	Gallus gallus breed Luhua mitochondrion, complete genome
OQ629490.1	Gallus gallus	Gallus gallus breed Luhua mitochondrion, complete genome
OQ629489.1	Gallus gallus	Gallus gallus isolate DF-1 mitochondrion, complete genome
OL959345.1	Gallus gallus	Gallus gallus isolate M01 mitochondrion, complete genome
OL959344.1	Gallus gallus	Gallus gallus isolate M11 mitochondrion, complete genome
OL959343.1	Gallus gallus	Gallus gallus isolate M18 mitochondrion, complete genome
OL959342.1	Gallus gallus	Gallus gallus isolate M08 mitochondrion, complete genome
NC_053523.1	Gallus gallus	Gallus gallus isolate bGalGal1 mitochondrion, complete sequence, whole genome shotgun sequence
NC_040902.1	Gallus gallus spadiceus	Gallus gallus spadiceus isolate YP19903 breed Red jungle fowl mitochondrion, complete genome
NC_034374.1	Numida meleagris	Numida meleagris isolate 19003 mitochondrion, complete genome
OP718272.1	Gallus gallus	Gallus gallus breed Yemili mitochondrion, complete genome
CP115610.1	Gallus gallus	Gallus gallus breed Huxu mitochondrion, complete genome
OM864526.1	Gallus gallus	Gallus gallus mitochondrion, complete genome
LC627431.1	Gallus gallus	Gallus gallus TKJ08 mitochondrial DNA, complete genome
LC627430.1	Gallus gallus	Gallus gallus TKJ06 mitochondrial DNA, complete genome
LC627429.1	Gallus gallus	Gallus gallus AIZ25 mitochondrial DNA, complete genome
MZ922471.1	Gallus gallus	Gallus gallus mitochondrion, complete genome
MZ911748.1	Gallus gallus	Gallus gallus mitochondrion, complete genome
MZ561474.1	Gallus gallus	Gallus gallus mitochondrion, complete genome
CM028585.1	Gallus gallus	Gallus gallus isolate bGalGal1 mitochondrion, complete sequence, whole genome shotgun sequence
LC507817.1	Gallus gallus	Gallus gallus Tsuchimoto mitochondrial DNA, D-loop, complete sequence
LC507816.1	Gallus gallus	Gallus gallus 51 mitochondrial DNA, D-loop, complete sequence
LC507815.1	Gallus gallus	Gallus gallus 922 mitochondrial DNA, D-loop, complete sequence
LC507814.1	Gallus gallus	Gallus gallus 911 mitochondrial DNA, D-loop, complete sequence
LC507813.1	Gallus gallus	Gallus gallus 921 mitochondrial DNA, D-loop, complete sequence
