NC_030181.1	Protobothrops flavoviridis	Protobothrops flavoviridis isolate PFAA001 mitochondrion, complete genome
LC073746.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFIE004
LC073745.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFIE003
LC073744.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFIE002
LC073743.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFIE001
LC073742.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKM004
LC073741.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKM003
LC073740.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKM002
LC073739.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKM001
LC073738.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKS004
LC073737.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKS003
LC073736.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKS002
LC073735.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKS001
LC073734.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFIH004
LC073733.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFIH003
LC073732.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFIH002
LC073731.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFIH001
LC073730.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFOH004
LC073729.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFOH003
LC073728.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFOH002
LC073727.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFOH001
LC073718.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFTK003
LC073717.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFTK002
LC073716.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFTK001
LC073715.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFTK000
LC073714.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKK004
LC073713.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKK003
LC073712.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKK002
LC073711.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFKK001
LC073710.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFAA005
LC073709.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFAA004
LC073708.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFAA003
LC073707.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFAA002
LC073706.1	Protobothrops flavoviridis	Protobothrops flavoviridis mitochondrial DNA, complete genome, isolate: PFAA001
