NC_038230.1	Cyclospora cayetanensis	Cyclospora cayetanensis mitochondrion, complete genome
CM037477.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate Can-NML:CYC2020-001 mitochondrion, complete sequence, whole genome shotgun sequence
KP658101.1	Cyclospora cayetanensis	Cyclospora cayetanensis voucher Cyclo_CDC_2013 mitochondrion, complete genome
MN316535.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate ME_14_CL_24 mitochondrion, complete genome
MN316534.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate MA_14_CL_3 mitochondrion, complete genome
MH647717.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate 21753 small subunit ribosomal RNA gene, partial sequence; small subunit ribosomal RNA gene, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial
MH647715.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate 21575 small subunit ribosomal RNA gene, partial sequence; small subunit ribosomal RNA gene, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial
MH647714.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate 21512 small subunit ribosomal RNA gene, partial sequence; small subunit ribosomal RNA gene, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial
MH647713.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate 21511 small subunit ribosomal RNA gene, partial sequence; small subunit ribosomal RNA gene, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial
MH647712.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate 21473 small subunit ribosomal RNA gene, partial sequence; small subunit ribosomal RNA gene, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial
MH647711.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate 21472 small subunit ribosomal RNA gene, partial sequence; small subunit ribosomal RNA gene, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial
MH647710.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate 21452 small subunit ribosomal RNA gene, partial sequence; small subunit ribosomal RNA gene, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial
MH647709.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate 21451 small subunit ribosomal RNA gene, partial sequence; small subunit ribosomal RNA gene, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial
MN260366.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_6 mitochondrion, complete genome
MN260365.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_23 mitochondrion, complete genome
MN260364.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_22 mitochondrion, complete genome
MN260363.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_21 mitochondrion, complete genome
MN260362.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_20 mitochondrion, complete genome
MN260361.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_19 mitochondrion, complete genome
MN260360.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_18 mitochondrion, complete genome
MN260359.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_17 mitochondrion, complete genome
MN260358.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_16 mitochondrion, complete genome
MN260357.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_15 mitochondrion, complete genome
MN260356.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_14 mitochondrion, complete genome
MN260355.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate TX_14_CL_13 mitochondrion, complete genome
MN260354.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate SC_14_CL_26 mitochondrion, complete genome
MN260353.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate OH_14_CL_1 mitochondrion, complete genome
MN260352.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate MT_14_CL_5 mitochondrion, complete genome
MN260351.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate ME_14_CL_25 mitochondrion, complete genome
MN260350.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate MA_14_CL_9 mitochondrion, complete genome
MN260349.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate MA_14_CL_7 mitochondrion, complete genome
MN260348.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate MA_14_CL_4 mitochondrion, complete genome
MN260347.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate MA_14_CL_2 mitochondrion, complete genome
MN260346.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate MA_14_CL_11 mitochondrion, complete genome
MN260345.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate MA_14_CL_10 mitochondrion, complete genome
KP231180.1	Cyclospora cayetanensis	Cyclospora cayetanensis mitochondrion, complete genome
MG831588.1	Cyclospora cayetanensis	Cyclospora cayetanensis strain C10 mitochondrion, complete genome
MG831587.1	Cyclospora cayetanensis	Cyclospora cayetanensis strain C8 mitochondrion, complete genome
MG831586.1	Cyclospora cayetanensis	Cyclospora cayetanensis strain C5 mitochondrion, complete genome
KP796149.1	Cyclospora cayetanensis	Cyclospora cayetanensis isolate CHN_HEN01 mitochondrion, complete genome
