OQ301533.1	Homo sapiens	Homo sapiens haplogroup K1a+195 mitochondrion, complete genome
OR193751.1	Homo sapiens	Homo sapiens haplogroup I1a1d mitochondrion, complete genome
OR182493.1	Homo sapiens	Homo sapiens haplogroup I1c1a1 mitochondrion, complete genome
OR166265.1	Homo sapiens	Homo sapiens haplogroup V15 mitochondrion, complete genome
OR159678.1	Homo sapiens	Homo sapiens haplogroup HV1a'b'c3b mitochondrion, complete genome
LC733705.1	Homo sapiens	Homo sapiens Iyai3 mitochondrial DNA, complete genome
LC733704.1	Homo sapiens	Homo sapiens Iyai10 mitochondrial DNA, complete genome
LC733703.1	Homo sapiens	Homo sapiens Iyai15 mitochondrial DNA, complete genome
LC733702.1	Homo sapiens	Homo sapiens Iyai12 mitochondrial DNA, complete genome
OR148033.1	Homo sapiens	Homo sapiens haplogroup H5-c1 mitochondrion, complete genome
OR166264.1	Homo sapiens	Homo sapiens haplogroup K1a1a mitochondrion, complete genome
OR137129.1	Homo sapiens	Homo sapiens haplogroup U5a1b1q mitochondrion, complete genome
OQ596713.1	Homo sapiens	Homo sapiens isolate 98_G_Krk mitochondrion, complete genome
OQ596705.1	Homo sapiens	Homo sapiens isolate 48_G_Krk mitochondrion, complete genome
OQ596697.1	Homo sapiens	Homo sapiens isolate 38_Krk mitochondrion, complete genome
OQ596688.1	Homo sapiens	Homo sapiens isolate 31_G_Krk mitochondrion, complete genome
OQ596680.1	Homo sapiens	Homo sapiens isolate 285_G_Krk mitochondrion, complete genome
OQ596672.1	Homo sapiens	Homo sapiens isolate 250_G_Itl mitochondrion, complete genome
OQ596664.1	Homo sapiens	Homo sapiens isolate 20_G_Krk mitochondrion, complete genome
OQ596656.1	Homo sapiens	Homo sapiens isolate 164_G_Krk mitochondrion, complete genome
OQ596648.1	Homo sapiens	Homo sapiens isolate 121_Krk mitochondrion, complete genome
OQ596640.1	Homo sapiens	Homo sapiens isolate 82_G_Evn mitochondrion, complete genome
OQ596632.1	Homo sapiens	Homo sapiens isolate 56_G_Evn mitochondrion, complete genome
OQ596624.1	Homo sapiens	Homo sapiens isolate 365_G_Evn mitochondrion, complete genome
OQ596616.1	Homo sapiens	Homo sapiens isolate 355_G_Evn mitochondrion, complete genome
OQ596608.1	Homo sapiens	Homo sapiens isolate 345_G_Evn mitochondrion, complete genome
OQ596600.1	Homo sapiens	Homo sapiens isolate 331_G_Evn mitochondrion, complete genome
OQ596592.1	Homo sapiens	Homo sapiens isolate 320_G_Evn mitochondrion, complete genome
OQ596584.1	Homo sapiens	Homo sapiens isolate 302_G_Evn mitochondrion, complete genome
OQ596576.1	Homo sapiens	Homo sapiens isolate 229_G_Evn mitochondrion, complete genome
OQ596568.1	Homo sapiens	Homo sapiens isolate 204_G_Evn mitochondrion, complete genome
OQ596559.1	Homo sapiens	Homo sapiens isolate 159_G_Evn mitochondrion, complete genome
OQ596551.1	Homo sapiens	Homo sapiens isolate 149_G_Evn mitochondrion, complete genome
OQ596543.1	Homo sapiens	Homo sapiens isolate 14_Ch mitochondrion, complete genome
