NC_025516.1	Mustela erminea	Mustela erminea mitochondrion, complete genome
MK603904.1	Mustela erminea	Mustela erminea voucher MSB:Mamm:248153 mitochondrion, complete genome
MK603896.1	Mustela erminea	Mustela erminea voucher MSB:Mamm:215685 mitochondrion, complete genome
MK603892.1	Mustela erminea	Mustela erminea voucher MSB:Mamm:197231 mitochondrion, complete genome
MK603876.1	Mustela erminea	Mustela erminea voucher UAM:Mamm:102433 mitochondrion, complete genome
MK603875.1	Mustela erminea	Mustela erminea voucher UAM:Mamm:73024 mitochondrion, complete genome
MK603873.1	Mustela erminea	Mustela erminea voucher UAM:Mamm:56192 mitochondrion, complete genome
MK603871.1	Mustela erminea	Mustela erminea voucher UAM:Mamm:49551 mitochondrion, complete genome
MK603870.1	Mustela erminea	Mustela erminea voucher UAM:Mamm:49490 mitochondrion, complete genome
MT584107.1	Mustela erminea	Mustela erminea isolate DM1128 mitochondrion, complete genome
MW257230.1	Mustela erminea	Mustela erminea mitochondrion, complete genome
CM020617.1	Mustela erminea	Mustela erminea isolate mMusErm1 mitochondrion, complete sequence, whole genome shotgun sequence
KT693383.1	Mustela putorius furo	Mustela putorius furo isolate Ferret mitochondrion, complete genome
KT693382.1	Mustela nivalis	Mustela nivalis isolate Weasel mitochondrion, complete genome
KT693378.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS46 mitochondrion, complete genome
KT693377.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS45 mitochondrion, complete genome
KT693376.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS44 mitochondrion, complete genome
KT693375.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS43 mitochondrion, complete genome
KT693374.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS42 mitochondrion, complete genome
KT693373.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS41 mitochondrion, complete genome
KT693372.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS40 mitochondrion, complete genome
KT693371.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS39 mitochondrion, complete genome
KT693370.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS38 mitochondrion, complete genome
KT693369.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS37 mitochondrion, complete genome
KT693368.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS36 mitochondrion, complete genome
KT693367.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS35 mitochondrion, complete genome
KT693366.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS34 mitochondrion, complete genome
KT693365.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS33 mitochondrion, complete genome
KT693364.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS32 mitochondrion, complete genome
KT693363.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS31 mitochondrion, complete genome
KT693362.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS30 mitochondrion, complete genome
KT693360.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS28 mitochondrion, complete genome
KT693359.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS27 mitochondrion, complete genome
KT693358.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS26 mitochondrion, complete genome
KT693357.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS25 mitochondrion, complete genome
KT693356.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS24 mitochondrion, complete genome
KT693355.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS23 mitochondrion, complete genome
KT693354.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS22 mitochondrion, complete genome
KT693353.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS21 mitochondrion, complete genome
KT693352.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS20 mitochondrion, complete genome
KT693351.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS19 mitochondrion, complete genome
KT693350.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS18 mitochondrion, complete genome
KT693349.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS17 mitochondrion, complete genome
KT693348.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS16 mitochondrion, complete genome
KT693347.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS15 mitochondrion, complete genome
KT693346.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS14 mitochondrion, complete genome
KT693345.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS13 mitochondrion, complete genome
KT693344.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS12 mitochondrion, complete genome
KT693343.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS11 mitochondrion, complete genome
KT693342.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS10 mitochondrion, complete genome
KT693341.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS9 mitochondrion, complete genome
KT693340.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS8 mitochondrion, complete genome
KT693339.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS7 mitochondrion, complete genome
KT693338.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS6 mitochondrion, complete genome
KT693337.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS5 mitochondrion, complete genome
KT693336.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS4 mitochondrion, complete genome
KT693334.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS2 mitochondrion, complete genome
KT693333.1	Arctocephalus forsteri	Arctocephalus forsteri isolate NZFS1 mitochondrion, complete genome
KT693335.1	Arctocephalus forsteri	UNVERIFIED: Arctocephalus forsteri isolate NZFS3 mitochondrion sequence, sequence
KT693381.1	Arctocephalus forsteri	UNVERIFIED: Arctocephalus forsteri isolate NZFS49 mitochondrion sequence, sequence
KT693380.1	Arctocephalus forsteri	UNVERIFIED: Arctocephalus forsteri isolate NZFS48 mitochondrion sequence, sequence
KT693379.1	Arctocephalus forsteri	UNVERIFIED: Arctocephalus forsteri isolate NZFS47 mitochondrion sequence, sequence
KT693361.1	Arctocephalus forsteri	UNVERIFIED: Arctocephalus forsteri isolate NZFS29 mitochondrion sequence, sequence
KM091450.1	Mustela erminea	Mustela erminea mitochondrion, complete genome
