MZ506818.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate AHSZ2M mitochondrion, complete genome
MZ506816.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNZK1M mitochondrion, complete genome
MZ506815.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNXX2M mitochondrion, complete genome
MZ506814.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNXX1M mitochondrion, complete genome
MZ506813.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNLY3M mitochondrion, complete genome
MZ506812.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNLY2M mitochondrion, complete genome
MZ506811.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNLY1M mitochondrion, complete genome
MZ506810.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNDC2M mitochondrion, complete genome
MZ506809.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNDC1M mitochondrion, complete genome
MZ506808.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HLJH3M mitochondrion, complete genome
MZ506807.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HLJH2M mitochondrion, complete genome
MZ506817.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate JSXZ3M mitochondrion, complete genome
MZ506806.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SXYA2M mitochondrion, complete genome
MZ506805.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SXYA1M mitochondrion, complete genome
MZ506804.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SXSL2M mitochondrion, complete genome
MZ506803.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SXSL1M mitochondrion, complete genome
MZ506802.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SXFY3M mitochondrion, complete genome
MZ506801.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SXFY2M mitochondrion, complete genome
MZ506800.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SXFY1M mitochondrion, complete genome
MZ506799.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SDHZ3M mitochondrion, complete genome
MZ506798.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SDHZ2M mitochondrion, complete genome
MZ506797.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HLJH1M mitochondrion, complete genome
MZ506796.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HBCZ3M mitochondrion, complete genome
MZ506795.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HBCZ2M mitochondrion, complete genome
MZ506794.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HBCZ1M mitochondrion, complete genome
MZ506793.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GZGY3M mitochondrion, complete genome
MZ506792.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GZGY2M mitochondrion, complete genome
MZ506791.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GZGY1M mitochondrion, complete genome
MZ506790.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GXDA3M mitochondrion, complete genome
MZ506789.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GXDA2M mitochondrion, complete genome
MZ506788.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate SDHZ1M mitochondrion, complete genome
MZ506787.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate NXYN3M mitochondrion, complete genome
MZ506786.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate NXYN2M mitochondrion, complete genome
MZ506785.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate NXYN1M mitochondrion, complete genome
MZ506784.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate NMGC3M mitochondrion, complete genome
MZ506783.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate NMGC2M mitochondrion, complete genome
MZ506782.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate NMGC1M mitochondrion, complete genome
MZ506781.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate LNSY3M mitochondrion, complete genome
MZ506780.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate LNSY2M mitochondrion, complete genome
MZ506779.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate LNSY1M mitochondrion, complete genome
MZ506778.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate JSXZ2M mitochondrion, complete genome
MZ506777.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate JSXZ1M mitochondrion, complete genome
MZ506776.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate JLDH3M mitochondrion, complete genome
MZ506775.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate JLDH2M mitochondrion, complete genome
MZ506774.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate JLDH1M mitochondrion, complete genome
MZ506773.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate JLCC3M mitochondrion, complete genome
MZ506772.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate JLCC2M mitochondrion, complete genome
MZ506771.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNZK3M mitochondrion, complete genome
MZ506770.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate HNZK2M mitochondrion, complete genome
MZ506769.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GSLZ3M mitochondrion, complete genome
MZ506768.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GSLZ2M mitochondrion, complete genome
MZ506767.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GSLZ1M mitochondrion, complete genome
MZ506766.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GSLN3M mitochondrion, complete genome
MZ506765.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GSLN2M mitochondrion, complete genome
MZ506764.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate GSLN1M mitochondrion, complete genome
MZ506763.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate AHSZ3M mitochondrion, complete genome
MZ506762.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate AHSZ1M mitochondrion, complete genome
MZ506761.1	Leguminivora glycinivorella	Leguminivora glycinivorella isolate AHFY1M mitochondrion, complete genome
MH013481.1	Leguminivora glycinivorella	Leguminivora glycinivorella mitochondrion, complete genome
MH013480.1	Leguminivora glycinivorella	Leguminivora glycinivorella mitochondrion, complete genome
